Nb_Si_8_11_19_mit_B

08.11.2019 11:03
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	4.539313E+0	2.558000E-2	7.369990E+0	1.057980E+5
9.996643E-1	4.543103E+0	2.564000E-2	7.368710E+0	1.057980E+5
2.000072E+0	4.542836E+0	2.564000E-2	7.368800E+0	1.057980E+5
2.999687E+0	4.544318E+0	2.556000E-2	7.368300E+0	1.057980E+5
3.999711E+0	4.543903E+0	2.550000E-2	7.368440E+0	1.057980E+5
4.999647E+0	4.546334E+0	2.574000E-2	7.367620E+0	1.057980E+5
5.999677E+0	4.545711E+0	2.550000E-2	7.367830E+0	1.057980E+5
6.999649E+0	4.542214E+0	2.568000E-2	7.369010E+0	1.057980E+5
7.999628E+0	4.545088E+0	2.550000E-2	7.368040E+0	1.057980E+5
8.999718E+0	4.540142E+0	2.570000E-2	7.369710E+0	1.057980E+5
9.999590E+0	4.539550E+0	2.576000E-2	7.369910E+0	1.057980E+5
1.099965E+1	4.542155E+0	2.566000E-2	7.369030E+0	1.057980E+5
1.199957E+1	4.543873E+0	2.577000E-2	7.368450E+0	1.057980E+5
1.299954E+1	4.544703E+0	2.558000E-2	7.368170E+0	1.057980E+5
1.399959E+1	4.544140E+0	2.577000E-2	7.368360E+0	1.057980E+5
1.499957E+1	4.541918E+0	2.569000E-2	7.369110E+0	1.057980E+5
1.599948E+1	4.545029E+0	2.578000E-2	7.368060E+0	1.057980E+5
1.699923E+1	4.544496E+0	2.572000E-2	7.368240E+0	1.057980E+5
1.799942E+1	4.544229E+0	2.580000E-2	7.368330E+0	1.057980E+5
1.899943E+1	4.545296E+0	2.588000E-2	7.367970E+0	1.057980E+5
1.999980E+1	4.545177E+0	2.569000E-2	7.368010E+0	1.057980E+5
2.100002E+1	4.546719E+0	2.571000E-2	7.367490E+0	1.057980E+5
2.200010E+1	4.546304E+0	2.571000E-2	7.367630E+0	1.057980E+5
2.300018E+1	4.545919E+0	2.553000E-2	7.367760E+0	1.057980E+5
2.400010E+1	4.545148E+0	2.556000E-2	7.368020E+0	1.057980E+5
2.500064E+1	4.546156E+0	2.562000E-2	7.367680E+0	1.057980E+5
2.600032E+1	4.544762E+0	2.575000E-2	7.368150E+0	1.057980E+5
