Nb_Si_8_11_19_mit_B_2

08.11.2019 11:14
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	4.535057E+0	2.698000E-2	7.371430E+0	1.057980E+5
9.993639E-1	4.542155E+0	2.702000E-2	7.369030E+0	1.057980E+5
1.999334E+0	4.542273E+0	2.713000E-2	7.368990E+0	1.057980E+5
2.999650E+0	4.540527E+0	2.720000E-2	7.369580E+0	1.057980E+5
3.999795E+0	4.536977E+0	2.722000E-2	7.370780E+0	1.057980E+5
4.999345E+0	4.538840E+0	2.703000E-2	7.370150E+0	1.057980E+5
5.999634E+0	4.539284E+0	2.707000E-2	7.370000E+0	1.057980E+5
6.999407E+0	4.540379E+0	2.706000E-2	7.369630E+0	1.057980E+5
7.999517E+0	4.537539E+0	2.713000E-2	7.370590E+0	1.057980E+5
9.000003E+0	4.538604E+0	2.704000E-2	7.370230E+0	1.057980E+5
1.000086E+1	4.539047E+0	2.704000E-2	7.370080E+0	1.057980E+5
1.100073E+1	4.539757E+0	2.692000E-2	7.369840E+0	1.057980E+5
1.200001E+1	4.538367E+0	2.703000E-2	7.370310E+0	1.057980E+5
1.300096E+1	4.537805E+0	2.678000E-2	7.370500E+0	1.057980E+5
1.400123E+1	4.537450E+0	2.698000E-2	7.370620E+0	1.057980E+5
1.500088E+1	4.537923E+0	2.695000E-2	7.370460E+0	1.057980E+5
1.600177E+1	4.539106E+0	2.709000E-2	7.370060E+0	1.057980E+5
1.700175E+1	4.537835E+0	2.684000E-2	7.370490E+0	1.057980E+5
1.800149E+1	4.536298E+0	2.708000E-2	7.371010E+0	1.057980E+5
1.900090E+1	4.538101E+0	2.718000E-2	7.370400E+0	1.057980E+5
2.000180E+1	4.536918E+0	2.689000E-2	7.370800E+0	1.057980E+5
2.100212E+1	4.536445E+0	2.697000E-2	7.370960E+0	1.057980E+5
2.200230E+1	4.537391E+0	2.706000E-2	7.370640E+0	1.057980E+5
2.300228E+1	4.536711E+0	2.706000E-2	7.370870E+0	1.057980E+5
2.400200E+1	4.537628E+0	2.706000E-2	7.370560E+0	1.057980E+5
2.500246E+1	4.537302E+0	2.690000E-2	7.370670E+0	1.057980E+5
2.600227E+1	4.536770E+0	2.702000E-2	7.370850E+0	1.057980E+5
2.700244E+1	4.535529E+0	2.724000E-2	7.371270E+0	1.057980E+5
2.800203E+1	4.536711E+0	2.724000E-2	7.370870E+0	1.057980E+5
2.900206E+1	4.538574E+0	2.717000E-2	7.370240E+0	1.057980E+5
3.000198E+1	4.537096E+0	2.716000E-2	7.370740E+0	1.057980E+5
3.100206E+1	4.535175E+0	2.711000E-2	7.371390E+0	1.057980E+5
3.200206E+1	4.538722E+0	2.747000E-2	7.370190E+0	1.057980E+5
3.300206E+1	4.664772E+0	2.785000E-2	7.328530E+0	1.057980E+5
3.400234E+1	5.142542E+0	2.836000E-2	7.186190E+0	1.057980E+5
3.500196E+1	5.356316E+0	2.844000E-2	7.129400E+0	1.057980E+5
3.600149E+1	5.457326E+0	2.867000E-2	7.103860E+0	1.057980E+5
3.700168E+1	5.514050E+0	2.859000E-2	7.089860E+0	1.057980E+5
