Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
1.000454E+0	4.459378E+0	3.828000E-2	7.397410E+0	1.057980E+5
1.999968E+0	4.460786E+0	3.838000E-2	7.396920E+0	1.057980E+5
3.000021E+0	4.460814E+0	3.839000E-2	7.396910E+0	1.057980E+5
3.999898E+0	4.461821E+0	3.849000E-2	7.396560E+0	1.057980E+5
4.999976E+0	4.464352E+0	3.837000E-2	7.395680E+0	1.057980E+5
6.000306E+0	4.462511E+0	3.837000E-2	7.396320E+0	1.057980E+5
6.999777E+0	4.464093E+0	3.853000E-2	7.395770E+0	1.057980E+5
7.999934E+0	4.464985E+0	3.836000E-2	7.395460E+0	1.057980E+5
8.999704E+0	4.465043E+0	3.841000E-2	7.395440E+0	1.057980E+5
9.999758E+0	4.467232E+0	3.832000E-2	7.394680E+0	1.057980E+5
1.100030E+1	4.468413E+0	3.842000E-2	7.394270E+0	1.057980E+5
1.199972E+1	4.464697E+0	3.825000E-2	7.395560E+0	1.057980E+5
1.299964E+1	4.467376E+0	3.833000E-2	7.394630E+0	1.057980E+5
1.399997E+1	4.466166E+0	3.857000E-2	7.395050E+0	1.057980E+5
1.499992E+1	4.467894E+0	3.830000E-2	7.394450E+0	1.057980E+5
1.599967E+1	4.469855E+0	3.834000E-2	7.393770E+0	1.057980E+5
1.699953E+1	4.468269E+0	3.840000E-2	7.394320E+0	1.057980E+5
1.799974E+1	4.471239E+0	3.833000E-2	7.393290E+0	1.057980E+5
1.899951E+1	4.469451E+0	3.834000E-2	7.393910E+0	1.057980E+5
1.999994E+1	4.470922E+0	3.837000E-2	7.393400E+0	1.057980E+5
2.099960E+1	4.628394E+0	3.830000E-2	7.340360E+0	1.057980E+5
2.199959E+1	5.740058E+0	3.842000E-2	7.036380E+0	1.057980E+5
2.299945E+1	6.316025E+0	3.834000E-2	6.914710E+0	1.057980E+5
2.399955E+1	6.596385E+0	3.826000E-2	6.861970E+0	1.057980E+5
2.499986E+1	6.757926E+0	3.836000E-2	6.833250E+0	1.057980E+5
2.599925E+1	6.857041E+0	3.831000E-2	6.816190E+0	1.057980E+5
2.699930E+1	6.932772E+0	3.832000E-2	6.803430E+0	1.057980E+5
2.799931E+1	6.965906E+0	3.820000E-2	6.797920E+0	1.057980E+5
2.899934E+1	7.004300E+0	3.826000E-2	6.791590E+0	1.057980E+5
2.999910E+1	7.024089E+0	3.825000E-2	6.788350E+0	1.057980E+5
3.099912E+1	7.040590E+0	3.841000E-2	6.785660E+0	1.057980E+5
3.199925E+1	7.053825E+0	3.839000E-2	6.783510E+0	1.057980E+5
3.299974E+1	7.061477E+0	3.821000E-2	6.782270E+0	1.057980E+5
3.399977E+1	7.069204E+0	3.838000E-2	6.781020E+0	1.057980E+5
3.499917E+1	7.126831E+0	3.841000E-2	6.771770E+0	1.057980E+5
3.599890E+1	8.144831E+0	3.837000E-2	6.626630E+0	1.057980E+5
3.699902E+1	9.157107E+0	3.849000E-2	6.509440E+0	1.057980E+5
3.799905E+1	9.855064E+0	3.865000E-2	6.440400E+0	1.057980E+5
3.899927E+1	1.033728E+1	3.849000E-2	6.397220E+0	1.057980E+5
3.999895E+1	1.069219E+1	3.834000E-2	6.367490E+0	1.057980E+5
4.099900E+1	1.096871E+1	3.828000E-2	6.345420E+0	1.057980E+5
4.199911E+1	1.118023E+1	3.826000E-2	6.329140E+0	1.057980E+5
4.299907E+1	1.135990E+1	3.837000E-2	6.315700E+0	1.057980E+5
4.399946E+1	1.149567E+1	3.849000E-2	6.305770E+0	1.057980E+5
4.499911E+1	1.160880E+1	3.836000E-2	6.297640E+0	1.057980E+5
4.599949E+1	1.171534E+1	3.849000E-2	6.290100E+0	1.057980E+5
4.699868E+1	1.176490E+1	3.824000E-2	6.286630E+0	1.057980E+5
4.799877E+1	1.184460E+1	3.842000E-2	6.281100E+0	1.057980E+5
4.899872E+1	1.190746E+1	3.850000E-2	6.276780E+0	1.057980E+5
