Nb_Si_8_11_19_mit_B_3

08.11.2019 11:22
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	4.521797E+0	2.756000E-2	7.375930E+0	1.057980E+5
1.000327E+0	4.521385E+0	2.761000E-2	7.376070E+0	1.057980E+5
2.000367E+0	4.522943E+0	2.769000E-2	7.375540E+0	1.057980E+5
3.000569E+0	4.521297E+0	2.790000E-2	7.376100E+0	1.057980E+5
3.999758E+0	4.517508E+0	2.775000E-2	7.377390E+0	1.057980E+5
4.999837E+0	4.519182E+0	2.760000E-2	7.376820E+0	1.057980E+5
5.999827E+0	4.519710E+0	2.774000E-2	7.376640E+0	1.057980E+5
6.999783E+0	4.517567E+0	2.768000E-2	7.377370E+0	1.057980E+5
7.999648E+0	4.517450E+0	2.768000E-2	7.377410E+0	1.057980E+5
8.999790E+0	4.516892E+0	2.781000E-2	7.377600E+0	1.057980E+5
9.999925E+0	4.516393E+0	2.867000E-2	7.377770E+0	1.057980E+5
1.100002E+1	4.638525E+0	2.936000E-2	7.337050E+0	1.057980E+5
1.200049E+1	5.119630E+0	2.939000E-2	7.192510E+0	1.057980E+5
1.300058E+1	5.340623E+0	2.967000E-2	7.133440E+0	1.057980E+5
1.400055E+1	5.442417E+0	2.966000E-2	7.107580E+0	1.057980E+5
1.500087E+1	5.497133E+0	2.966000E-2	7.094010E+0	1.057980E+5
1.600103E+1	5.530026E+0	2.972000E-2	7.085960E+0	1.057980E+5
1.700103E+1	5.549135E+0	2.957000E-2	7.081320E+0	1.057980E+5
1.800101E+1	5.558938E+0	3.014000E-2	7.078950E+0	1.057980E+5
1.900045E+1	5.567441E+0	2.996000E-2	7.076900E+0	1.057980E+5
2.000049E+1	5.571971E+0	2.987000E-2	7.075810E+0	1.057980E+5
2.100065E+1	5.573052E+0	2.990000E-2	7.075550E+0	1.057980E+5
2.200087E+1	5.573884E+0	2.978000E-2	7.075350E+0	1.057980E+5
2.300100E+1	5.576048E+0	2.992000E-2	7.074830E+0	1.057980E+5
2.400090E+1	5.576465E+0	2.957000E-2	7.074730E+0	1.057980E+5
2.500104E+1	5.573510E+0	2.994000E-2	7.075440E+0	1.057980E+5
2.600056E+1	5.574425E+0	3.003000E-2	7.075220E+0	1.057980E+5
