Nb_Si_8_11_19

08.11.2019 10:23
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
0.000000E+0	2.799319E+2	1.390900E-1	1.087590E+2	2.301000E+2
1.000084E+0	2.798884E+2	1.393100E-1	1.087400E+2	2.306000E+2
1.999934E+0	2.799067E+2	1.393200E-1	1.087480E+2	2.300000E+2
2.999831E+0	2.798952E+2	1.393000E-1	1.087430E+2	2.294000E+2
4.000469E+0	2.798929E+2	1.392800E-1	1.087420E+2	2.299000E+2
4.999920E+0	2.798975E+2	1.393200E-1	1.087440E+2	2.297000E+2
5.999893E+0	2.800097E+2	1.391800E-1	1.087930E+2	2.298000E+2
7.000039E+0	2.799387E+2	1.393400E-1	1.087620E+2	2.287000E+2
7.999671E+0	2.798632E+2	1.395500E-1	1.087290E+2	2.301000E+2
8.999884E+0	2.798655E+2	1.393100E-1	1.087300E+2	2.311000E+2
1.000037E+1	2.798929E+2	1.400100E-1	1.087420E+2	2.310000E+2
1.100041E+1	2.798037E+2	1.399500E-1	1.087030E+2	2.324000E+2
1.199970E+1	2.798105E+2	1.396900E-1	1.087060E+2	2.282000E+2
1.299945E+1	2.798243E+2	1.400900E-1	1.087120E+2	2.284000E+2
1.399972E+1	2.798174E+2	1.397200E-1	1.087090E+2	2.257000E+2
1.500030E+1	2.798037E+2	1.399400E-1	1.087030E+2	2.304000E+2
1.599967E+1	2.798174E+2	1.400600E-1	1.087090E+2	2.317000E+2
1.699968E+1	2.798060E+2	1.400300E-1	1.087040E+2	2.322000E+2
1.800014E+1	2.798037E+2	1.399200E-1	1.087030E+2	2.333000E+2
1.899952E+1	2.798083E+2	1.401200E-1	1.087050E+2	2.313000E+2
2.000033E+1	2.798105E+2	1.402000E-1	1.087060E+2	2.319000E+2
2.100123E+1	2.798243E+2	1.394500E-1	1.087120E+2	2.280000E+2
2.200053E+1	2.797785E+2	1.394700E-1	1.086920E+2	2.269000E+2
2.300061E+1	2.796961E+2	1.399100E-1	1.086560E+2	2.195000E+2
2.400049E+1	2.797465E+2	1.399100E-1	1.086780E+2	2.304000E+2
2.500089E+1	2.797442E+2	1.401300E-1	1.086770E+2	2.275000E+2
2.600045E+1	2.798311E+2	1.401500E-1	1.087150E+2	2.298000E+2
