Spaltposition	Impulsrate
0	62.8
0.05	66.8
0.1	71.8
0.15	68.6
0.2	72.6
0.25	72
0.3	81.4
0.35	81
0.4	80.6
0.45	75
0.5	76
0.55	76.4
0.6	73.4
0.65	85.6
0.7	83
0.75	77.4
0.8	81.6
0.85	81.8
0.9	79.4
0.95	86.6
1	76.8
1.05	86.6
1.1	82.8
1.15	75
1.2	83
1.25	81
1.3	72.2
1.35	71.2
1.4	79.6
1.45	83.4
1.5	75.4
1.55	76.2
1.6	65
1.65	69.8
1.7	72.6
1.75	66.6
1.8	70.8
1.85	66.8
1.9	62.8
1.95	56.4
2	60.4
2.05	52
2.1	53.2
2.15	54
2.2	45
2.25	52
2.3	52
2.35	47.4
2.4	42
2.45	38.4
2.5	36.8
2.55	38.2
2.6	34.6
2.65	35.4
2.7	32.4
2.75	30.2
2.8	29.4
2.85	31.4
2.9	21.8
2.95	22.4
3	23.2
3.05	23.4
3.1	19
3.15	20.2
3.2	20.4
3.25	19.8
3.3	16.2
3.35	15.2
3.4	18
3.45	14.8
3.5	16
3.55	14.4
3.6	12.2
3.65	11.4
3.7	10.2
3.75	12.4
3.8	10.2
3.85	8.2
3.9	10.8
3.95	8.2
4	11.2
4.05	10.4
4.1	9
4.15	10.8
4.2	8
4.25	6.4
4.3	9.8
4.35	9.4
4.4	9.6
4.45	10.2
4.5	9.6
