Spaltposition	Diodenspannung
0	0.154
0.05	0.149
0.1	0.178
0.15	0.19
0.2	0.195
0.25	0.198
0.3	0.203
0.35	0.205
0.4	0.208
0.45	0.21
0.5	0.212
0.55	0.212
0.6	0.215
0.65	0.217
0.7	0.217
0.75	0.217
0.8	0.217
0.85	0.22
0.9	0.217
0.95	0.217
1	0.217
1.05	0.217
1.1	0.215
1.15	0.215
1.2	0.212
1.25	0.212
1.3	0.21
1.35	0.205
1.4	0.203
1.45	0.203
1.5	0.198
1.55	0.195
1.6	0.193
1.65	0.188
1.7	0.186
1.75	0.183
1.8	0.178
1.85	0.173
1.9	0.171
1.95	0.166
2	0.161
2.05	0.156
2.1	0.151
2.15	0.146
2.2	0.144
2.25	0.137
2.3	0.134
2.35	0.129
2.4	0.122
2.45	0.117
2.5	0.115
2.55	0.11
2.6	0.103
2.65	0.098
2.7	0.093
2.75	0.088
2.8	0.083
2.85	0.078
2.9	0.073
2.95	0.068
3	0.063
3.05	0.061
3.1	0.056
3.15	0.051
3.2	0.049
3.25	0.044
3.3	0.042
3.35	0.037
3.4	0.034
3.45	0.032
3.5	0.029
3.55	0.027
3.6	0.024
3.65	0.022
3.7	0.02
3.75	0.017
3.8	0.017
3.85	0.012
3.9	0.012
3.95	0.012
4	0.012
4.05	0.01
4.1	0.01
4.15	0.01
4.2	0.01
4.25	0.01
4.3	0.01
4.35	0.01
4.4	0.01
4.45	0.01
4.5	0.01
