Spaltposition	Impulsrate
0	10.8
0.05	9
0.1	8.6
0.15	9
0.2	8
0.25	10.6
0.3	8.6
0.35	7.4
0.4	7.8
0.45	7.4
0.5	8.8
0.55	8.6
0.6	8.2
0.65	9
0.7	7.2
0.75	8.6
0.8	7.8
0.85	9.4
0.9	6.8
0.95	8
1	6.6
1.05	7.8
1.1	8.2
1.15	8.8
1.2	9.2
1.25	6.8
1.3	6.6
1.35	6.2
1.4	8.8
1.45	10.8
1.5	6.6
1.55	7.4
1.6	7.2
1.65	11.4
1.7	10.8
1.75	9.8
1.8	9.2
1.85	11.2
1.9	11.8
1.95	9.6
2	11.8
2.05	7.6
2.1	11.6
2.15	11.6
2.2	9.8
2.25	10.4
2.3	12.2
2.35	12.4
2.4	11.4
2.45	14.8
2.5	10.2
2.55	12
2.6	15.2
2.65	13.6
2.7	11.4
2.75	13.4
2.8	15.6
2.85	15.2
2.9	13.8
2.95	17.2
3	17.2
3.05	14.4
3.1	18.2
3.15	16
3.2	16.4
3.25	14.4
3.3	18.8
3.35	18
3.4	18
3.45	18
3.5	18
3.55	17.8
3.6	17.4
3.65	18.6
3.7	18.8
3.75	17
3.8	20.4
3.85	15.8
3.9	16.8
3.95	14.2
4	19
4.05	20.6
4.1	14
4.15	20
4.2	14.2
4.25	17.6
4.3	18.4
4.35	19.4
4.4	17.2
4.45	17.2
4.5	19
4.55	19.2
4.6	20.4
4.65	18.6
4.7	19.4
4.75	13.2
4.8	20
4.85	16.4
4.9	17.4
4.95	20.4
5	18.8
5.05	18.6
5.1	18.4
5.15	16
5.2	17.2
5.25	16.6
5.3	12.6
5.35	15.6
5.4	17.6
5.45	14.2
5.5	10.8
5.55	14.6
5.6	13.6
5.65	12.2
5.7	13
5.75	13.6
5.8	13.8
5.85	13
5.9	11
5.95	9.4
6	13.6
6.05	10.2
6.1	11.6
6.15	10.2
6.2	13.2
6.25	10.6
6.3	9.8
6.35	10.8
6.4	11.4
6.45	10.8
6.5	11.6
6.55	10.2
6.6	10.6
6.65	8.4
6.7	9
6.75	8.6
6.8	10.4
6.85	8.8
6.9	8.8
6.95	8.6
7	9
7.05	8.8
7.1	6.6
7.15	6.4
7.2	6.8
7.25	6.6
7.3	6.4
7.35	9
7.4	9
7.45	6.2
7.5	7.6
7.55	7.2
7.6	6.6
7.65	8.4
7.7	9
7.75	9.6
7.8	10
7.85	10.8
7.9	8.8
7.95	7.8
8	8.8
8.05	10.2
8.1	9.4
8.15	11
8.2	9.6
8.25	10.4
8.3	11.4
8.35	9.8
8.4	13.2
8.45	9.2
8.5	12.4
