Spaltposition	Diodenspannung
1.25	59
1.3	68
1.35	71
1.4	78
1.45	85
1.5	95
1.55	103
1.6	0.11
1.65	117
1.7	127
1.75	137
1.8	146
1.85	154
1.9	166
1.95	176
2	186
2.05	195
2.1	0.21
2.15	217
2.2	229
2.25	244
2.3	254
2.35	264
2.4	278
2.45	291
2.5	0.3
2.55	0.31
2.6	0.32
2.65	332
2.7	344
2.75	354
2.8	366
2.85	378
2.9	386
2.95	393
3	398
3.05	405
3.1	413
3.15	0.42
3.2	427
3.25	435
3.3	442
3.35	447
3.4	457
3.45	461
3.5	466
3.55	474
3.6	479
3.65	486
3.7	488
3.75	493
3.8	498
3.85	503
3.9	508
3.95	513
4	518
4.05	522
4.1	525
4.15	527
4.2	0.53
4.25	527
4.3	525
4.35	525
4.4	0.52
4.45	518
4.5	513
4.55	508
4.6	503
4.65	496
4.7	488
4.75	479
4.8	471
4.85	461
4.9	454
4.95	444
5	437
5.05	427
5.1	417
5.15	408
5.2	0.4
5.25	391
5.3	381
5.35	371
5.4	359
5.45	347
5.5	337
5.55	325
5.6	312
5.65	0.3
5.7	288
5.75	278
5.8	266
5.85	254
5.9	242
5.95	232
6	0.22
6.05	0.21
6.1	198
6.15	188
6.2	176
6.25	166
6.3	156
6.35	146
6.4	137
6.45	127
6.5	117
6.55	0.11
6.6	0.1
6.65	93
6.7	85
6.75	78
6.8	71
6.85	63
6.9	56
6.95	51
7	46
7.05	42
7.1	37
7.15	32
7.2	27
7.25	24
7.3	22
7.35	17
7.4	15
7.45	12
7.5	12
7.55	0.01
7.6	0.01
7.65	0.01
7.7	0.01
7.75	0.01
7.8	0.01
7.85	0.01
7.9	0.01
7.95	0.01
8	0.01
