Spaltposition	Diodenspannung
0.5	0.01
0.55	0.01
0.6	0.01
0.65	0.01
0.7	0.012
0.75	0.012
0.8	0.017
0.85	0.02
0.9	0.024
0.95	0.027
1	0.032
1.05	0.037
1.1	0.042
1.15	0.046
1.2	0.051
1.25	0.059
1.3	0.068
1.35	0.071
1.4	0.078
1.45	0.085
1.5	0.095
1.55	0.103
1.6	0.11
1.65	0.117
1.7	0.127
1.75	0.137
1.8	0.146
1.85	0.154
1.9	0.166
1.95	0.176
2	0.186
2.05	0.195
2.1	0.21
2.15	0.217
2.2	0.229
2.25	0.244
2.3	0.254
2.35	0.264
2.4	0.278
2.45	0.291
2.5	0.3
2.55	0.31
2.6	0.32
2.65	0.332
2.7	0.344
2.75	0.354
2.8	0.366
2.85	0.378
2.9	0.386
2.95	0.393
3	0.398
3.05	0.405
3.1	0.413
3.15	0.42
3.2	0.427
3.25	0.435
3.3	0.442
3.35	0.447
3.4	0.457
3.45	0.461
3.5	0.466
3.55	0.474
3.6	0.479
3.65	0.486
3.7	0.488
3.75	0.493
3.8	0.498
3.85	0.503
3.9	0.508
3.95	0.513
4	0.518
4.05	0.522
4.1	0.525
4.15	0.527
4.2	0.53
4.25	0.527
4.3	0.525
4.35	0.525
4.4	0.52
4.45	0.518
4.5	0.513
4.55	0.508
4.6	0.503
4.65	0.496
4.7	0.488
4.75	0.479
4.8	0.471
4.85	0.461
4.9	0.454
4.95	0.444
5	0.437
5.05	0.427
5.1	0.417
5.15	0.408
5.2	0.4
5.25	0.391
5.3	0.381
5.35	0.371
5.4	0.359
5.45	0.347
5.5	0.337
5.55	0.325
5.6	0.312
5.65	0.3
5.7	0.288
5.75	0.278
5.8	0.266
5.85	0.254
5.9	0.242
5.95	0.232
6	0.22
6.05	0.21
6.1	0.198
6.15	0.188
6.2	0.176
6.25	0.166
6.3	0.156
6.35	0.146
6.4	0.137
6.45	0.127
6.5	0.117
6.55	0.11
6.6	0.1
6.65	0.093
6.7	0.085
6.75	0.078
6.8	0.071
6.85	0.063
6.9	0.056
6.95	0.051
7	0.046
7.05	0.042
7.1	0.037
7.15	0.032
7.2	0.027
7.25	0.024
7.3	0.022
7.35	0.017
7.4	0.015
7.45	0.012
7.5	0.012
7.55	0.01
7.6	0.01
7.65	0.01
7.7	0.01
7.75	0.01
7.8	0.01
7.85	0.01
7.9	0.01
7.95	0.01
8	0.01
