x [mm]	Photodiodenspannung[V]
0.000	0.007
0.050	0.010
0.100	0.007
0.150	0.007
0.200	0.007
0.250	0.010
0.300	0.010
0.350	0.010
0.400	0.010
0.450	0.007
0.500	0.007
0.550	0.007
0.600	0.010
0.650	0.007
0.700	0.007
0.750	0.007
0.800	0.010
0.850	0.007
0.900	0.007
0.950	0.007
1.000	0.007
1.050	0.007
1.100	0.010
1.150	0.010
1.200	0.010
1.250	0.010
1.300	0.012
1.350	0.012
1.400	0.010
1.450	0.010
1.500	0.010
1.550	0.012
1.600	0.012
1.650	0.012
1.700	0.012
1.750	0.010
1.800	0.010
1.850	0.010
1.900	0.010
1.950	0.010
2.000	0.010
2.050	0.015
2.100	0.022
2.150	0.027
2.200	0.029
2.250	0.032
2.300	0.029
2.350	0.027
2.400	0.022
2.450	0.020
2.500	0.020
2.550	0.022
2.600	0.027
2.650	0.034
2.700	0.042
2.750	0.049
2.800	0.051
2.850	0.054
2.900	0.056
2.950	0.059
3.000	0.066
3.050	0.076
3.100	0.095
3.150	0.120
3.200	0.146
3.250	0.171
3.300	0.188
3.350	0.193
3.400	0.186
3.450	0.164
3.500	0.134
3.550	0.103
3.600	0.081
3.650	0.076
3.700	0.095
3.750	0.144
3.800	0.217
3.850	0.305
3.900	0.398
3.950	0.469
4.000	0.515
4.050	0.510
4.100	0.469
4.150	0.388
4.200	0.281
4.250	0.166
4.300	0.100
4.350	0.068
4.400	0.095
4.450	0.200
4.500	0.315
4.550	0.486
4.600	0.659
4.650	0.806
4.700	0.896
4.750	0.911
4.800	0.842
4.850	0.693
4.900	0.515
4.950	0.320
5.000	0.161
5.050	0.066
5.100	0.061
5.150	0.156
5.200	0.356
5.250	0.613
5.300	0.886
5.350	1.135
5.400	1.292
5.450	1.335
5.500	1.257
5.550	1.069
5.600	0.791
5.650	0.518
5.700	0.266
5.750	0.083
5.800	0.032
5.850	0.110
5.900	0.298
5.950	0.593
6.000	0.896
6.050	1.179
6.100	1.389
6.150	1.465
6.200	1.404
6.250	1.221
6.300	0.945
6.350	0.632
6.400	0.342
6.450	0.129
6.500	0.027
6.550	0.061
6.600	0.195
6.650	0.442
6.700	0.725
6.750	1.003
6.800	1.204
6.850	1.309
6.900	1.294
6.950	1.165
7.000	0.916
7.050	0.681
7.100	0.403
7.150	0.188
7.200	0.056
7.250	0.034
7.300	0.120
7.350	0.271
7.400	0.471
7.450	0.667
7.500	0.828
7.550	0.916
7.600	0.920
7.650	0.845
7.700	0.703
7.750	0.527
7.800	0.344
7.850	0.195
7.900	0.090
7.950	0.046
8.000	0.066
8.050	0.132
8.100	0.232
8.150	0.334
8.200	0.422
8.250	0.471
8.300	0.481
8.350	0.447
8.400	0.378
8.450	0.300
8.500	0.217
8.550	0.139
8.600	0.085
8.650	0.059
8.700	0.056
8.750	0.071
8.800	0.095
8.850	0.122
8.900	0.142
8.950	0.149
9.000	0.144
9.050	0.132
9.100	0.110
9.150	0.085
9.200	0.061
9.250	0.044
9.300	0.032
9.350	0.027
9.400	0.022
9.450	0.022
9.500	0.024
9.550	0.022
9.600	0.022
9.650	0.022
9.700	0.020
9.750	0.017
9.800	0.017
9.850	0.017
9.900	0.017
9.950	0.017
10.000	0.017
10.050	0.020
10.100	0.020
10.150	0.020
10.200	0.020
10.250	0.022
10.300	0.022
10.350	0.024
10.400	0.027
10.450	0.037
10.500	0.044
10.550	0.051
10.600	0.056
10.650	0.063
10.700	0.071
10.750	0.076
10.800	0.085
10.850	0.090
