x [mm]	Zaehlrate [1/s]
0.000	5.500
0.050	5.100
0.100	5.400
0.150	5.600
0.200	5.400
0.250	6.800
0.300	7.400
0.350	7.600
0.400	7.000
0.450	10.100
0.500	8.200
0.550	10.600
0.600	11.200
0.650	12.800
0.700	13.900
0.750	15.200
0.800	17.000
0.850	19.700
0.900	22.400
0.950	25.800
1.000	26.100
1.050	29.600
1.100	36.200
1.150	32.300
1.200	35.300
1.250	40.300
1.300	43.400
1.350	49.000
1.400	52.300
1.450	54.400
1.500	60.500
1.550	62.300
1.600	64.800
1.650	71.500
1.700	71.100
1.750	77.100
1.800	81.400
1.850	85.300
1.900	88.400
1.950	90.300
2.000	99.000
2.050	100.600
2.100	106.500
2.150	113.500
2.200	121.600
2.250	120.300
2.300	124.600
2.350	126.600
2.400	128.800
2.450	137.100
2.500	139.400
2.550	136.800
2.600	147.300
2.650	146.300
2.700	153.000
2.750	155.900
2.800	147.500
2.850	153.200
2.900	162.800
2.950	166.700
3.000	160.200
3.050	166.900
3.100	165.100
3.150	172.300
3.200	165.500
3.250	172.800
3.300	169.100
3.350	172.100
3.400	159.000
3.450	160.300
3.500	166.800
3.550	161.300
3.600	164.500
3.650	154.600
3.700	156.700
3.750	155.000
3.800	149.800
3.850	146.800
3.900	150.300
3.950	145.900
4.000	144.700
4.050	143.600
4.100	138.200
4.150	138.000
4.200	129.200
4.250	130.600
4.300	125.400
4.350	126.200
4.400	112.700
4.450	110.900
4.500	111.600
4.550	96.800
4.600	98.000
4.650	94.300
4.700	90.600
4.750	92.900
4.800	81.100
4.850	77.700
4.900	77.900
4.950	69.700
5.000	70.500
5.050	61.800
5.100	57.500
5.150	54.100
5.200	50.400
5.250	48.300
5.300	44.800
5.350	38.100
5.400	39.000
5.450	37.100
5.500	32.200
5.550	33.400
5.600	26.700
5.650	22.100
5.700	24.400
5.750	22.600
5.800	20.200
5.850	17.900
5.900	17.200
5.950	13.600
6.000	13.800
6.050	12.100
6.100	10.500
6.150	10.200
6.200	7.300
6.250	8.200
6.300	8.000
6.350	8.200
6.400	5.900
6.450	6.000
6.500	4.900
6.550	6.500
6.600	6.100
6.650	5.500
6.700	5.300
6.750	6.400
6.800	5.400
6.850	6.200
6.900	6.800
6.950	6.200
7.000	5.300
