x[mm]	Photodiodenspannung[V]
0.000	0.007
0.050	0.007
0.100	0.007
0.150	0.007
0.200	0.010
0.250	0.010
0.300	0.010
0.350	0.010
0.400	0.010
0.450	0.010
0.500	0.007
0.550	0.007
0.600	0.007
0.650	0.007
0.700	0.007
0.750	0.007
0.800	0.010
0.850	0.007
0.900	0.010
0.950	0.010
1.000	0.010
1.050	0.010
1.100	0.010
1.150	0.010
1.200	0.022
1.250	0.061
1.300	0.090
1.350	0.100
1.400	0.110
1.450	0.115
1.500	0.122
1.550	0.127
1.600	0.134
1.650	0.139
1.700	0.144
1.750	0.151
1.800	0.156
1.850	0.164
1.900	0.168
1.950	0.173
2.000	0.181
2.050	0.188
2.100	0.193
2.150	0.198
2.200	0.203
2.250	0.208
2.300	0.212
2.350	0.217
2.400	0.222
2.450	0.229
2.500	0.232
2.550	0.237
2.600	0.242
2.650	0.244
2.700	0.249
2.750	0.251
2.800	0.256
2.850	0.259
2.900	0.261
2.950	0.261
3.000	0.264
3.050	0.266
3.100	0.266
3.150	0.269
3.200	0.266
3.250	0.266
3.300	0.266
3.350	0.266
3.400	0.266
3.450	0.266
3.500	0.264
3.550	0.264
3.600	0.261
3.650	0.259
3.700	0.256
3.750	0.254
3.800	0.249
3.850	0.247
3.900	0.242
3.950	0.239
4.000	0.234
4.050	0.232
4.100	0.225
4.150	0.220
4.200	0.212
4.250	0.208
4.300	0.203
4.350	0.198
4.400	0.193
4.450	0.188
4.500	0.183
4.550	0.178
4.600	0.173
4.650	0.168
4.700	0.161
4.750	0.156
4.800	0.151
4.850	0.146
4.900	0.142
4.950	0.137
5.000	0.129
5.050	0.125
5.100	0.122
5.150	0.117
5.200	0.112
5.250	0.107
5.300	0.103
5.350	0.098
5.400	0.090
5.450	0.085
5.500	0.081
5.550	0.076
5.600	0.071
5.650	0.068
5.700	0.063
5.750	0.059
5.800	0.054
5.850	0.049
5.900	0.046
5.950	0.042
6.000	0.039
6.050	0.034
6.100	0.032
6.150	0.029
6.200	0.027
6.250	0.022
6.300	0.022
6.350	0.017
6.400	0.017
6.450	0.015
6.500	0.012
6.550	0.010
6.600	0.010
6.650	0.010
6.700	0.010
6.750	0.010
6.800	0.010
6.850	0.010
6.900	0.010
6.950	0.010
7.000	0.007
7.050	0.007
7.100	0.010
7.150	0.010
7.200	0.007
7.250	0.007
7.300	0.010
