x [mm]	Zaehlrate [1/s]
4.000	6.000
4.050	7.100
4.100	6.600
4.150	5.400
4.200	7.000
4.250	8.500
4.300	8.800
4.350	10.200
4.400	11.700
4.450	11.200
4.500	13.400
4.550	15.500
4.600	17.400
4.650	16.500
4.700	20.400
4.750	21.400
4.800	21.200
4.850	24.800
4.900	26.600
4.950	29.600
5.000	35.100
5.050	32.300
5.100	41.500
5.150	41.200
5.200	46.200
5.250	48.300
5.300	53.700
5.350	57.600
5.400	60.600
5.450	62.100
5.500	65.300
5.550	67.800
5.600	77.600
5.650	78.700
5.700	87.500
5.750	84.200
5.800	92.100
5.850	96.300
5.900	96.600
5.950	104.000
6.000	105.300
6.050	110.800
6.100	118.100
6.150	123.000
6.200	131.800
6.250	123.300
6.300	133.200
6.350	132.000
6.400	126.700
6.450	128.900
6.500	144.100
6.550	136.800
6.600	147.700
6.650	146.200
6.700	144.100
6.750	143.400
6.800	149.800
6.850	160.500
6.900	152.400
6.950	154.000
7.000	161.300
7.050	157.800
7.100	160.900
7.150	164.200
7.200	164.100
7.250	155.000
7.300	157.200
7.350	153.200
7.400	149.100
7.450	145.300
7.500	151.200
7.550	143.800
7.600	146.500
7.650	148.400
7.700	145.300
7.750	138.100
7.800	140.300
7.850	131.300
7.900	124.000
7.950	123.100
8.000	127.200
8.050	126.300
8.100	116.900
8.150	112.500
8.200	107.400
8.250	101.800
8.300	100.700
8.350	91.700
8.400	92.700
8.450	87.500
8.500	82.600
8.550	80.500
8.600	80.400
8.650	73.200
8.700	68.700
8.750	69.000
8.800	60.400
8.850	60.800
8.900	56.600
8.950	46.700
9.000	45.700
9.050	43.900
9.100	41.600
9.150	39.900
9.200	36.700
9.250	35.900
9.300	30.200
9.350	31.200
9.400	26.300
9.450	25.600
9.500	25.200
9.550	21.800
9.600	19.600
9.650	20.000
9.700	20.100
9.750	17.100
9.800	15.700
9.850	16.600
9.900	15.600
9.950	17.400
10.000	19.200
10.050	19.300
10.100	20.700
10.150	19.700
