x [mm]	Photodiodenspannung [V]
0.000	0.007
0.050	0.007
0.100	0.010
0.150	0.007
0.200	0.007
0.250	0.007
0.300	0.007
0.350	0.010
0.400	0.010
0.450	0.010
0.500	0.007
0.550	0.007
0.600	0.007
0.650	0.007
0.700	0.010
0.750	0.007
0.800	0.007
0.850	0.007
0.900	0.007
0.950	0.007
1.000	0.010
1.050	0.010
1.100	0.010
1.150	0.007
1.200	0.010
1.250	0.010
1.300	0.010
1.350	0.012
1.400	0.012
1.450	0.015
1.500	0.015
1.550	0.015
1.600	0.015
1.650	0.015
1.700	0.015
1.750	0.012
1.800	0.012
1.850	0.012
1.900	0.012
1.950	0.012
2.000	0.012
2.050	0.012
2.100	0.012
2.150	0.010
2.200	0.010
2.250	0.010
2.300	0.010
2.350	0.010
2.400	0.010
2.450	0.010
2.500	0.010
2.550	0.010
2.600	0.010
2.650	0.010
2.700	0.010
2.750	0.010
2.800	0.007
2.850	0.010
2.900	0.010
2.950	0.010
3.000	0.010
3.050	0.007
3.100	0.010
3.150	0.007
3.200	0.010
3.250	0.007
3.300	0.010
3.350	0.007
3.400	0.010
3.450	0.010
3.500	0.010
3.550	0.010
3.600	0.010
3.650	0.010
3.700	0.010
3.750	0.012
3.800	0.012
3.850	0.015
3.900	0.017
3.950	0.020
4.000	0.022
4.050	0.027
4.100	0.029
4.150	0.032
4.200	0.034
4.250	0.039
4.300	0.042
4.350	0.046
4.400	0.051
4.450	0.056
4.500	0.061
4.550	0.066
4.600	0.071
4.650	0.076
4.700	0.081
4.750	0.088
4.800	0.095
4.850	0.100
4.900	0.105
4.950	0.112
5.000	0.120
5.050	0.127
5.100	0.134
5.150	0.144
5.200	0.151
5.250	0.159
5.300	0.168
5.350	0.178
5.400	0.186
5.450	0.193
5.500	0.200
5.550	0.208
5.600	0.217
5.650	0.222
5.700	0.232
5.750	0.239
5.800	0.247
5.850	0.251
5.900	0.259
5.950	0.266
6.000	0.271
6.050	0.276
6.100	0.283
6.150	0.291
6.200	0.295
6.250	0.300
6.300	0.308
6.350	0.312
6.400	0.317
6.450	0.322
6.500	0.330
6.550	0.332
6.600	0.337
6.650	0.339
6.700	0.342
6.750	0.344
6.800	0.347
6.850	0.349
6.900	0.349
6.950	0.352
7.000	0.352
7.050	0.354
7.100	0.352
7.150	0.352
7.200	0.352
7.250	0.352
7.300	0.349
7.350	0.347
7.400	0.344
7.450	0.342
7.500	0.337
7.550	0.334
7.600	0.330
7.650	0.325
7.700	0.320
7.750	0.315
7.800	0.310
7.850	0.303
7.900	0.298
7.950	0.291
8.000	0.283
8.050	0.276
8.100	0.271
8.150	0.264
8.200	0.256
8.250	0.249
8.300	0.242
8.350	0.234
8.400	0.227
8.450	0.220
8.500	0.210
8.550	0.203
8.600	0.193
8.650	0.186
8.700	0.176
8.750	0.166
8.800	0.156
8.850	0.149
8.900	0.139
8.950	0.129
9.000	0.122
9.050	0.112
9.100	0.103
9.150	0.090
9.200	0.076
9.250	0.061
9.300	0.051
9.350	0.039
9.400	0.032
9.450	0.022
9.500	0.017
9.550	0.012
9.600	0.010
9.650	0.010
9.700	0.010
9.750	0.010
9.800	0.010
9.850	0.010
9.900	0.010
9.950	0.007
10.000	0.010
10.050	0.010
10.100	0.010
10.150	0.010
10.200	0.010
10.250	0.010
10.300	0.010
10.350	0.010
10.400	0.010
10.450	0.017
10.500	0.024
