sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	-0,000079999940582	0	0,0004	0,0256	100	1
point	ch1
0	31
1	34
2	33
3	29
4	30
5	28
6	27
7	31
8	30
9	34
10	36
11	28
12	26
13	43
14	21
15	47
16	97
17	2
18	8
19	32
20	30
21	33
22	31
23	34
24	33
25	29
26	33
27	30
28	30
29	32
30	30
31	35
32	35
33	29
34	29
35	32
36	31
37	29
38	29
39	33
40	33
41	30
42	33
43	31
44	29
45	32
46	33
47	29
48	29
49	34
50	33
51	29
52	33
53	29
54	29
55	33
56	30
57	32
58	28
59	33
60	30
61	33
62	32
63	35
64	34
65	31
66	33
67	35
68	32
69	35
70	33
71	35
72	33
73	36
74	33
75	35
76	34
77	31
78	32
79	38
80	31
81	29
82	29
83	37
84	30
85	35
86	35
87	32
88	35
89	33
90	33
91	31
92	33
93	31
94	33
95	36
96	36
97	51
98	56
99	72
100	73
101	68
102	74
103	70
104	70
105	73
106	75
107	68
108	70
109	64
110	64
111	73
112	74
113	50
114	50
115	39
116	39
117	43
118	38
119	47
120	36
121	43
122	43
123	37
124	36
125	42
126	39
127	37
128	40
129	37
130	38
131	42
132	43
133	54
134	58
135	100
136	101
137	108
138	107
139	110
140	110
141	115
142	115
143	129
144	115
145	94
146	100
147	81
148	81
149	65
150	65
151	54
152	52
153	48
154	48
155	45
156	43
157	40
158	43
159	41
160	43
161	40
162	41
163	38
164	39
165	43
166	41
167	48
168	48
169	56
170	56
171	65
172	67
173	85
174	90
175	114
176	107
177	92
178	93
179	98
180	97
181	102
182	104
183	90
184	86
185	64
186	65
187	63
188	63
189	53
190	55
191	49
192	49
193	43
194	44
195	41
196	40
197	38
198	40
199	36
200	39
201	34
202	36
203	31
204	36
205	33
206	31
207	34
208	37
209	31
210	32
211	34
212	38
213	32
214	32
215	37
216	36
217	30
218	30
219	33
220	29
221	32
222	29
223	34
224	29
225	32
226	33
227	29
228	29
229	31
230	29
231	32
232	28
233	31
234	29
235	30
236	29
237	32
238	31
239	28
240	27
241	29
242	29
243	33
244	29
245	32
246	28
247	30
248	29
249	31
250	27
251	31
252	33
253	28
254	30
255	28
256	29
257	32
258	29
259	31
260	29
261	32
262	28
263	31
264	30
265	28
266	30
267	28
268	29
269	32
270	31
271	28
272	30
273	28
274	32
275	29
276	29
277	32
278	29
279	32
280	31
281	35
282	33
283	37
284	36
285	40
286	40
287	38
288	39
289	43
290	41
291	39
292	37
293	40
294	37
295	34
296	34
297	33
298	34
299	33
300	34
301	31
302	33
303	31
304	31
305	33
306	30
307	33
308	31
309	33
310	32
311	35
312	34
313	41
314	40
315	48
316	47
317	54
318	55
319	49
320	50
321	48
322	49
323	46
324	43
325	48
326	44
327	39
328	39
329	34
330	38
331	34
332	34
333	36
334	35
335	33
336	33
337	36
338	34
339	33
340	35
341	32
342	32
343	34
344	33
345	36
346	37
347	44
348	43
349	49
350	50
351	52
352	53
353	48
354	48
355	51
356	52
357	45
358	45
359	42
360	38
361	42
362	37
363	40
364	38
365	33
366	36
367	32
368	30
369	34
370	34
371	30
372	32
373	30
374	33
375	29
376	33
377	30
378	33
379	28
380	30
381	32
382	32
383	29
384	32
385	30
386	29
387	33
388	29
389	31
390	30
391	28
392	28
393	29
394	29
395	30
396	29
397	31
398	29
399	31
400	30
401	28
402	26
403	31
404	28
405	31
406	30
407	28
408	27
409	30
410	30
411	27
412	30
413	28
414	27
415	31
416	29
417	30
418	29
419	32
420	31
421	33
422	33
423	31
424	33
425	29
426	30
427	33
428	33
429	29
430	27
431	32
432	33
433	29
434	29
435	31
436	30
437	29
438	31
439	29
440	29
441	32
442	33
443	29
444	32
445	29
446	30
447	32
448	33
449	31
450	31
451	34
452	36
453	41
454	41
455	48
456	50
457	60
458	59
459	64
460	62
461	67
462	62
463	65
464	63
465	61
466	61
467	52
468	51
469	48
470	48
471	41
472	40
473	43
474	40
475	37
476	37
477	35
478	36
479	33
480	34
481	36
482	34
483	36
484	35
485	37
486	36
487	39
488	40
489	49
490	48
491	61
492	63
493	84
494	86
495	96
496	93
497	103
498	104
499	97
500	99
501	93
502	93
503	90
504	88
505	79
506	79
507	69
508	69
509	60
510	61
511	57
512	58
513	53
514	50
515	46
516	46
517	43
518	42
519	39
520	41
521	39
522	40
523	38
524	39
525	36
526	37
527	43
528	42
529	46
530	50
531	65
532	68
533	83
534	83
535	96
536	100
537	107
538	108
539	95
540	96
541	79
542	75
543	79
544	76
545	67
546	65
547	54
548	54
549	45
550	45
551	47
552	46
553	41
554	40
555	36
556	36
557	34
558	34
559	33
560	33
561	35
562	33
563	31
564	33
565	30
566	29
567	32
568	33
569	30
570	30
571	32
572	29
573	32
574	33
575	29
576	33
577	29
578	32
579	29
580	29
581	30
582	28
583	31
584	31
585	27
586	29
587	26
588	30
589	27
590	26
591	29
592	29
593	27
594	26
595	29
596	27
597	25
598	25
599	28

