sec,Volt,sec,ch1
DataType	DisplayMode	Points	Count	Xincrement	Xorigin	Xreference	Yincrement	Yorigin	Yreference	Channel	
5	1	600	2	0,000004	0,00098400005942	0	0,0004	0,0256	100	1
point	ch1
0	32
1	29
2	28
3	32
4	28
5	31
6	31
7	29
8	29
9	31
10	31
11	29
12	29
13	31
14	29
15	31
16	29
17	31
18	28
19	31
20	30
21	28
22	31
23	28
24	29
25	31
26	28
27	31
28	31
29	29
30	32
31	28
32	32
33	30
34	31
35	29
36	30
37	32
38	32
39	30
40	31
41	36
42	34
43	43
44	46
45	64
46	64
47	59
48	61
49	55
50	55
51	49
52	49
53	43
54	43
55	37
56	42
57	37
58	35
59	38
60	40
61	36
62	36
63	42
64	41
65	46
66	46
67	64
68	65
69	94
70	100
71	114
72	112
73	107
74	113
75	108
76	108
77	94
78	93
79	77
80	75
81	68
82	68
83	54
84	52
85	47
86	47
87	42
88	44
89	40
90	40
91	36
92	38
93	39
94	38
95	44
96	45
97	58
98	56
99	65
100	64
101	58
102	61
103	54
104	57
105	47
106	46
107	40
108	40
109	36
110	34
111	38
112	37
113	33
114	33
115	35
116	33
117	30
118	32
119	29
120	30
121	33
122	29
123	32
124	32
125	29
126	29
127	32
128	32
129	28
130	27
131	31
132	29
133	28
134	28
135	32
136	27
137	30
138	28
139	30
140	27
141	30
142	31
143	26
144	27
145	30
146	29
147	26
148	28
149	30
150	30
151	28
152	30
153	28
154	31
155	26
156	26
157	32
158	32
159	29
160	27
161	29
162	30
163	28
164	27
165	29
166	30
167	27
168	28
169	29
170	27
171	29
172	27
173	29
174	28
175	30
176	30
177	28
178	28
179	31
180	29
181	31
182	30
183	34
184	32
185	36
186	35
187	43
188	44
189	41
190	43
191	40
192	41
193	38
194	40
195	36
196	36
197	34
198	36
199	33
200	35
201	32
202	35
203	31
204	35
205	31
206	33
207	31
208	31
209	33
210	32
211	36
212	35
213	40
214	41
215	52
216	54
217	60
218	61
219	66
220	66
221	63
222	61
223	52
224	52
225	43
226	46
227	41
228	41
229	38
230	39
231	36
232	34
233	36
234	34
235	35
236	36
237	33
238	33
239	30
240	33
241	31
242	32
243	34
244	35
245	32
246	33
247	36
248	35
249	39
250	37
251	43
252	44
253	40
254	40
255	38
256	36
257	37
258	36
259	34
260	35
261	33
262	33
263	30
264	31
265	28
266	29
267	32
268	32
269	29
270	29
271	31
272	28
273	29
274	29
275	32
276	28
277	31
278	31
279	28
280	29
281	31
282	31
283	28
284	30
285	27
286	26
287	29
288	30
289	27
290	28
291	31
292	30
293	27
294	29
295	27
296	30
297	26
298	30
299	26
300	30
301	28
302	29
303	29
304	30
305	28
306	27
307	31
308	31
309	28
310	27
311	30
312	31
313	27
314	28
315	33
316	29
317	33
318	32
319	34
320	34
321	33
322	33
323	35
324	33
325	30
326	29
327	33
328	29
329	33
330	30
331	33
332	33
333	32
334	33
335	37
336	36
337	54
338	56
339	80
340	83
341	79
342	83
343	85
344	86
345	78
346	75
347	57
348	55
349	53
350	52
351	43
352	43
353	40
354	39
355	36
356	36
357	39
358	38
359	36
360	37
361	41
362	42
363	55
364	57
365	92
366	96
367	125
368	127
369	142
370	140
371	116
372	116
373	99
374	95
375	69
376	68
377	50
378	50
379	44
380	43
381	37
382	39
383	35
384	35
385	38
386	39
387	37
388	37
389	44
390	46
391	40
392	42
393	46
394	47
395	59
396	58
397	49
398	48
399	42
400	42
401	38
402	39
403	35
404	35
405	33
406	33
407	29
408	32
409	29
410	26
411	30
412	31
413	28
414	29
415	30
416	30
417	28
418	29
419	30
420	29
421	27
422	30
423	25
424	25
425	28
426	29
427	26
428	29
429	25
430	26
431	28
432	25
433	29
434	29
435	26
436	25
437	28
438	29
439	26
440	28
441	25
442	28
443	25
444	25
445	28
446	29
447	25
448	29
449	25
450	27
451	30
452	31
453	27
454	28
455	31
456	27
457	30
458	29
459	26
460	29
461	26
462	29
463	26
464	28
465	25
466	29
467	27
468	29
469	28
470	29
471	31
472	31
473	38
474	39
475	44
476	46
477	42
478	44
479	39
480	39
481	36
482	37
483	36
484	38
485	33
486	33
487	31
488	32
489	30
490	33
491	29
492	31
493	33
494	33
495	40
496	38
497	47
498	50
499	53
500	54
501	48
502	49
503	51
504	50
505	45
506	46
507	43
508	43
509	36
510	39
511	35
512	33
513	35
514	34
515	31
516	33
517	30
518	33
519	29
520	30
521	33
522	30
523	34
524	35
525	31
526	33
527	31
528	31
529	34
530	33
531	35
532	33
533	30
534	28
535	31
536	31
537	28
538	29
539	27
540	30
541	27
542	26
543	29
544	29
545	26
546	27
547	30
548	29
549	26
550	29
551	27
552	29
553	25
554	29
555	26
556	26
557	28
558	26
559	28
560	28
561	25
562	28
563	26
564	26
565	29
566	26
567	29
568	28
569	26
570	25
571	29
572	25
573	29
574	29
575	26
576	30
577	28
578	29
579	33
580	33
581	30
582	31
583	28
584	30
585	27
586	28
587	33
588	30
589	33
590	32
591	30
592	30
593	29
594	30
595	28
596	29
597	33
598	30
599	33

