wavelength	int
189.03	631
189.49	627
189.96	627
190.43	615
190.9	609
191.37	634
191.84	634
192.31	623
192.78	628
193.24	624
193.71	625
194.18	618
194.65	628
195.12	640
195.59	646
196.06	624
196.52	626
196.99	617
197.46	628
197.93	610
198.4	614
198.87	626
199.34	631
199.8	625
200.27	629
200.74	634
201.21	635
201.68	611
202.15	607
202.61	640
203.08	643
203.55	634
204.02	603
204.49	632
204.96	632
205.42	616
205.89	595
206.36	614
206.83	635
207.3	631
207.76	622
208.23	628
208.7	618
209.17	617
209.64	624
210.1	643
210.57	628
211.04	602
211.51	630
211.98	630
212.44	622
212.91	609
213.38	634
213.85	632
214.31	625
214.78	620
215.25	610
215.72	640
216.19	623
216.65	637
217.12	627
217.59	626
218.06	604
218.52	620
218.99	629
219.46	628
219.93	626
220.39	619
220.86	630
221.33	658
221.8	628
222.26	603
222.73	630
223.2	632
223.66	614
224.13	608
224.6	611
225.07	641
225.53	620
226	612
226.47	639
226.94	620
227.4	623
227.87	626
228.34	634
228.8	618
229.27	626
229.74	609
230.21	627
230.67	629
231.14	618
231.61	620
232.07	620
232.54	617
233.01	612
233.47	626
233.94	634
234.41	615
234.87	610
235.34	617
235.81	616
236.27	631
236.74	618
237.21	622
237.67	647
238.14	618
238.61	620
239.07	623
239.54	630
240.01	621
240.47	613
240.94	626
241.41	637
241.87	627
242.34	618
242.81	621
243.27	630
243.74	632
244.21	631
244.67	604
245.14	634
245.6	611
246.07	617
246.54	628
247	648
247.47	621
247.94	604
248.4	627
248.87	631
249.33	622
249.8	612
250.27	631
250.73	655
251.2	624
251.66	603
252.13	623
252.6	644
253.06	624
253.53	612
253.99	619
254.46	635
254.93	628
255.39	639
255.86	612
256.32	621
256.79	624
257.26	613
257.72	608
258.19	639
258.65	613
259.12	626
259.58	622
260.05	626
260.51	627
260.98	628
261.45	606
261.91	628
262.38	626
262.84	614
263.31	620
263.77	634
264.24	616
264.7	617
265.17	616
265.63	650
266.1	615
266.57	617
267.03	656
267.5	638
267.96	632
268.43	615
268.89	621
269.36	622
269.82	599
270.29	610
270.75	623
271.22	627
271.68	606
272.15	614
272.61	643
273.08	656
273.54	628
274.01	603
274.47	650
274.94	637
275.4	609
275.87	620
276.33	624
276.8	626
277.26	620
277.73	614
278.19	637
278.66	627
279.12	609
279.59	607
280.05	624
280.52	624
280.98	625
281.44	627
281.91	620
282.37	624
282.84	619
283.3	622
283.77	630
284.23	628
284.7	623
285.16	618
285.62	628
286.09	642
286.55	605
287.02	620
287.48	635
287.95	642
288.41	626
288.88	616
289.34	638
289.8	627
290.27	603
290.73	613
291.2	630
291.66	626
292.12	610
292.59	627
293.05	628
293.52	626
293.98	618
294.44	625
294.91	642
295.37	614
295.84	629
296.3	633
296.76	628
297.23	620
297.69	627
298.16	647
298.62	632
299.08	616
299.55	640
300.01	618
300.47	616
300.94	608
301.4	621
301.87	619
302.33	617
302.79	604
303.26	620
303.72	636
304.18	633
304.65	617
305.11	623
305.57	642
306.04	636
306.5	616
306.96	617
307.43	635
307.89	614
308.35	615
308.82	613
309.28	631
309.74	644
310.21	614
310.67	611
311.13	643
311.6	617
312.06	614
312.52	624
312.99	639
313.45	618
313.91	610
314.38	622
314.84	617
315.3	636
315.76	622
316.23	623
316.69	634
317.15	628
317.62	617
318.08	622
318.54	619
319	603
319.47	609
319.93	628
320.39	635
320.86	626
321.32	601
321.78	620
322.24	632
322.71	607
323.17	613
323.63	616
324.09	620
324.56	619
325.02	631
325.48	636
325.94	638
326.41	613
326.87	616
327.33	616
327.79	643
328.26	618
328.72	608
329.18	644
329.64	631
330.11	630
330.57	624
331.03	612
331.49	631
331.95	601
332.42	620
332.88	628
333.34	638
333.8	620
334.27	609
334.73	631
335.19	641
335.65	629
336.11	623
336.58	627
337.04	626
337.5	628
337.96	621
338.42	624
338.88	630
339.35	624
339.81	619
340.27	648
340.73	620
341.19	614
341.66	624
342.12	624
342.58	633
343.04	584
343.5	617
343.96	632
344.43	623
344.89	624
345.35	628
345.81	638
346.27	617
346.73	630
347.19	619
347.66	616
348.12	608
348.58	627
349.04	626
349.5	626
349.96	644
350.42	632
350.88	616
351.35	637
351.81	632
352.27	628
352.73	630
353.19	625
353.65	619
354.11	626
354.57	623
355.04	641
355.5	622
355.96	632
356.42	638
356.88	638
357.34	619
357.8	628
358.26	640
358.72	613
359.18	596
359.64	619
360.11	635
360.57	622
361.03	625
361.49	624
361.95	624
362.41	626
362.87	600
363.33	618
363.79	619
364.25	626
364.71	620
365.17	619
365.63	633
366.09	627
366.55	621
367.01	629
367.48	636
367.94	623
368.4	611
368.86	612
369.32	623
369.78	616
370.24	613
370.7	617
371.16	627
371.62	619
372.08	619
372.54	634
373	637
373.46	628
373.92	630
374.38	614
374.84	630
375.3	645
375.76	594
376.22	613
376.68	630
377.14	614
377.6	641
378.06	628
378.52	638
378.98	619
379.44	620
379.9	619
380.36	633
380.82	621
381.28	596
381.74	622
382.2	619
382.66	623
383.12	623
383.58	620
384.04	619
384.5	620
384.96	600
385.41	622
385.87	632
386.33	620
386.79	603
387.25	635
387.71	633
388.17	620
388.63	598
389.09	629
389.55	633
390.01	625
390.47	602
390.93	632
391.39	646
391.85	618
392.31	610
392.76	618
393.22	635
393.68	610
394.14	624
394.6	622
395.06	619
395.52	640
395.98	628
396.44	642
396.9	633
397.36	628
397.81	619
398.27	628
398.73	622
399.19	635
399.65	625
400.11	628
400.57	636
401.03	615
401.48	600
401.94	617
402.4	636
402.86	620
403.32	621
403.78	623
404.24	636
404.7	612
405.15	613
405.61	633
406.07	637
406.53	607
406.99	620
407.45	651
407.9	626
408.36	617
408.82	622
409.28	628
409.74	615
410.2	621
410.65	613
411.11	632
411.57	640
412.03	633
412.49	630
412.95	619
413.4	620
413.86	614
414.32	638
414.78	645
415.24	614
415.69	608
416.15	623
416.61	635
417.07	613
417.53	618
417.98	637
418.44	624
418.9	614
419.36	608
419.82	626
420.27	630
420.73	627
421.19	611
421.65	623
422.1	626
422.56	614
423.02	620
423.48	618
423.93	630
424.39	621
424.85	636
425.31	634
425.76	618
426.22	621
426.68	614
427.14	632
427.59	635
428.05	615
428.51	614
428.97	640
429.42	630
429.88	626
430.34	613
430.8	629
431.25	633
431.71	612
432.17	626
432.62	638
433.08	626
433.54	614
434	607
434.45	634
434.91	632
435.37	620
435.82	622
436.28	660
436.74	630
437.2	616
437.65	621
438.11	628
438.57	613
439.02	625
439.48	625
439.94	651
440.39	649
440.85	630
441.31	618
441.76	622
442.22	619
442.68	612
443.13	640
443.59	648
444.05	611
444.5	627
444.96	633
445.42	631
445.87	618
446.33	632
446.79	615
447.24	632
447.7	626
448.15	616
448.61	613
449.07	621
449.52	645
449.98	629
450.44	627
450.89	623
451.35	627
451.8	616
452.26	631
452.72	636
453.17	617
453.63	618
454.08	649
454.54	634
455	600
455.45	613
455.91	633
456.36	614
456.82	614
457.28	616
457.73	632
458.19	633
458.64	597
459.1	617
459.56	631
460.01	613
460.47	599
460.92	620
461.38	629
461.83	632
462.29	628
462.75	616
463.2	638
463.66	632
464.11	622
464.57	612
465.02	625
465.48	628
465.93	619
466.39	621
466.84	641
467.3	618
467.76	621
468.21	621
468.67	638
469.12	617
469.58	603
470.03	618
470.49	642
470.94	617
471.4	610
471.85	618
472.31	623
472.76	621
473.22	613
473.67	618
474.13	624
474.58	617
475.04	616
475.49	620
475.95	632
476.4	621
476.86	628
477.31	614
477.77	635
478.22	616
478.68	618
479.13	625
479.59	621
480.04	618
480.5	610
480.95	618
481.41	629
481.86	646
482.31	615
482.77	620
483.22	629
483.68	631
484.13	634
484.59	625
485.04	644
485.5	616
485.95	624
486.4	642
486.86	629
487.31	643
487.77	614
488.22	640
488.68	626
489.13	621
489.58	614
490.04	628
490.49	632
490.95	596
491.4	614
491.86	629
492.31	632
492.76	611
493.22	625
493.67	630
494.13	624
494.58	614
495.03	604
495.49	632
495.94	632
496.39	613
496.85	626
497.3	629
497.76	634
498.21	630
498.66	625
499.12	632
499.57	618
500.02	607
500.48	618
500.93	635
501.39	623
501.84	611
502.29	605
502.75	634
503.2	623
503.65	613
504.11	612
504.56	626
505.01	619
505.47	617
505.92	635
506.37	621
506.83	646
507.28	615
507.73	615
508.19	641
508.64	618
509.09	633
509.55	623
510	626
510.45	610
510.9	608
511.36	624
511.81	633
512.26	632
512.72	627
513.17	626
513.62	627
514.08	619
514.53	613
514.98	606
515.43	624
515.89	625
516.34	611
516.79	611
517.25	639
517.7	607
518.15	615
518.6	634
519.06	648
519.51	612
519.96	628
520.41	635
520.87	624
521.32	609
521.77	597
522.22	630
522.68	626
523.13	601
523.58	622
524.03	616
524.49	608
524.94	622
525.39	618
525.84	629
526.29	621
526.75	613
527.2	615
527.65	628
528.1	631
528.56	625
529.01	626
529.46	634
529.91	627
530.36	626
530.82	611
531.27	623
531.72	619
532.17	604
532.62	594
533.08	629
533.53	613
533.98	612
534.43	627
534.88	623
535.33	618
535.79	601
536.24	623
536.69	630
537.14	624
537.59	622
538.04	613
538.5	643
538.95	607
539.4	620
539.85	607
540.3	620
540.75	610
541.21	612
541.66	611
542.11	645
542.56	614
543.01	616
543.46	626
543.91	622
544.36	620
544.82	614
545.27	620
545.72	626
546.17	620
546.62	616
547.07	632
547.52	644
547.97	627
548.43	630
548.88	629
549.33	634
549.78	622
550.23	611
550.68	631
551.13	619
551.58	629
552.03	602
552.48	627
552.93	632
553.39	612
553.84	604
554.29	621
554.74	631
555.19	617
555.64	620
556.09	619
556.54	628
556.99	613
557.44	624
557.89	635
558.34	617
558.79	624
559.24	619
559.69	614
560.14	640
560.59	612
561.04	624
561.5	616
561.95	609
562.4	611
562.85	613
563.3	642
563.75	653
564.2	599
564.65	620
565.1	635
565.55	627
566	601
566.45	631
566.9	634
567.35	638
567.8	611
568.25	609
568.7	612
569.15	616
569.6	616
570.05	619
570.5	635
570.95	626
571.4	624
571.85	626
572.3	618
572.75	613
573.2	607
573.65	619
574.09	610
574.54	622
574.99	617
575.44	623
575.89	640
576.34	625
576.79	634
577.24	630
577.69	620
578.14	613
578.59	611
579.04	608
579.49	628
579.94	626
580.39	648
580.84	624
581.29	626
581.74	630
582.18	626
582.63	623
583.08	642
583.53	628
583.98	599
584.43	622
584.88	624
585.33	612
585.78	620
586.23	625
586.68	620
587.12	617
587.57	608
588.02	616
588.47	633
588.92	605
589.37	613
589.82	629
590.27	621
590.71	615
591.16	601
591.61	628
592.06	625
592.51	623
592.96	625
593.41	617
593.86	626
594.3	626
594.75	605
595.2	621
595.65	639
596.1	612
596.55	611
596.99	625
597.44	612
597.89	628
598.34	610
598.79	606
599.24	608
599.68	606
600.13	623
600.58	630
601.03	613
601.48	612
601.93	614
602.37	617
602.82	601
603.27	612
603.72	617
604.17	613
604.61	603
605.06	626
605.51	616
605.96	626
606.4	599
606.85	619
607.3	628
607.75	632
608.2	596
608.64	618
609.09	615
609.54	632
609.99	626
610.43	633
610.88	621
611.33	633
611.78	637
612.22	611
612.67	623
613.12	610
613.57	615
614.01	630
614.46	633
614.91	633
615.36	607
615.8	630
616.25	629
616.7	620
617.15	626
617.59	616
618.04	607
618.49	622
618.93	618
619.38	628
619.83	639
620.28	620
620.72	635
621.17	607
621.62	635
622.06	626
622.51	613
622.96	632
623.4	647
623.85	625
624.3	628
624.75	630
625.19	659
625.64	627
626.09	609
626.53	642
626.98	637
627.43	627
627.87	632
628.32	640
628.77	646
629.21	673
629.66	663
630.11	684
630.55	783
631	1073
631.45	3269
631.89	11347
632.34	11423
632.78	3356
633.23	1144
633.68	775
634.12	704
634.57	649
635.02	640
635.46	651
635.91	617
636.35	632
636.8	610
637.25	620
637.69	649
638.14	625
638.58	617
639.03	623
639.48	614
639.92	629
640.37	618
640.81	620
641.26	646
641.71	609
642.15	618
642.6	634
643.04	618
643.49	629
643.94	625
644.38	627
644.83	628
645.27	600
645.72	599
646.16	612
646.61	619
647.06	626
647.5	627
647.95	640
648.39	620
648.84	622
649.28	614
649.73	634
650.17	632
650.62	605
651.06	613
651.51	634
651.95	627
652.4	599
652.85	620
653.29	614
653.74	621
654.18	619
654.63	610
655.07	630
655.52	611
655.96	618
656.41	622
656.85	623
657.3	612
657.74	612
658.19	623
658.63	635
659.08	610
659.52	612
659.97	623
660.41	629
660.86	620
661.3	608
661.74	619
662.19	642
662.63	627
663.08	616
663.52	612
663.97	623
664.41	614
664.86	604
665.3	627
665.75	617
666.19	609
666.63	626
667.08	618
667.52	621
667.97	629
668.41	606
668.86	623
669.3	635
669.75	622
670.19	605
670.63	620
671.08	612
671.52	617
671.97	622
672.41	617
672.85	633
673.3	620
673.74	615
674.19	629
674.63	616
675.07	613
675.52	611
675.96	621
676.41	629
676.85	622
677.29	628
677.74	646
678.18	620
678.63	624
679.07	630
679.51	619
679.96	624
680.4	612
680.84	613
681.29	631
681.73	635
682.17	618
682.62	607
683.06	616
683.5	636
683.95	616
684.39	607
684.84	621
685.28	617
685.72	606
686.17	614
686.61	639
687.05	628
687.49	602
687.94	634
688.38	634
688.82	633
689.27	626
689.71	610
690.15	622
690.6	612
691.04	621
691.48	611
691.93	629
692.37	620
692.81	618
693.25	606
693.7	627
694.14	606
694.58	612
695.03	612
695.47	620
695.91	609
696.35	614
696.8	628
697.24	629
697.68	617
698.13	615
698.57	622
699.01	622
699.45	630
699.9	629
700.34	616
700.78	633
701.22	612
701.67	616
702.11	638
702.55	625
702.99	619
703.43	619
703.88	617
704.32	619
704.76	606
705.2	608
705.65	624
706.09	628
706.53	610
706.97	613
707.41	611
707.86	631
708.3	614
708.74	624
709.18	635
709.62	614
710.07	615
710.51	613
710.95	631
711.39	630
711.83	595
712.28	624
712.72	632
713.16	618
713.6	620
714.04	618
714.48	634
714.93	616
715.37	603
715.81	598
716.25	611
716.69	605
717.13	612
717.57	621
718.02	632
718.46	627
718.9	615
719.34	610
719.78	625
720.22	633
720.66	628
721.11	630
721.55	633
721.99	616
722.43	609
722.87	630
723.31	630
723.75	620
724.19	611
724.63	620
725.08	640
725.52	610
725.96	612
726.4	629
726.84	622
727.28	613
727.72	605
728.16	622
728.6	624
729.04	620
729.48	607
729.93	638
730.37	636
730.81	604
731.25	624
731.69	618
732.13	627
732.57	616
733.01	592
733.45	628
733.89	638
734.33	617
734.77	624
735.21	626
735.65	625
736.09	620
736.53	627
736.97	616
737.41	616
737.85	630
738.29	617
738.73	610
739.18	628
739.62	624
740.06	617
740.5	650
740.94	614
741.38	607
741.82	611
742.26	627
742.7	621
743.14	607
743.58	598
744.02	610
744.46	615
744.9	616
745.34	626
745.77	616
746.21	608
746.65	620
747.09	618
747.53	616
747.97	621
748.41	620
748.85	604
749.29	622
749.73	630
750.17	610
750.61	613
751.05	623
751.49	621
751.93	613
752.37	627
752.81	619
753.25	616
753.69	627
754.13	625
754.57	617
755	615
755.44	607
755.88	607
756.32	652
756.76	621
757.2	604
757.64	613
758.08	629
758.52	619
758.96	627
759.4	637
759.83	635
760.27	623
760.71	624
761.15	627
761.59	627
762.03	617
762.47	621
762.91	621
763.35	625
763.78	614
764.22	614
764.66	614
765.1	621
765.54	630
765.98	602
766.42	622
766.85	614
767.29	612
767.73	630
768.17	637
768.61	627
769.05	616
769.48	611
769.92	629
770.36	631
770.8	608
771.24	625
771.68	620
772.11	626
772.55	614
772.99	605
773.43	629
773.87	640
774.31	615
774.74	631
775.18	622
775.62	615
776.06	598
776.5	625
776.93	618
777.37	628
777.81	629
778.25	619
778.68	629
779.12	628
779.56	634
780	611
780.44	630
780.87	625
781.31	611
781.75	618
782.19	626
782.62	625
783.06	605
783.5	626
783.94	640
784.37	615
784.81	622
785.25	607
785.69	630
786.12	620
786.56	626
787	619
787.44	622
787.87	607
788.31	612
788.75	617
789.18	624
789.62	610
790.06	617
790.5	629
790.93	625
791.37	611
791.81	602
792.24	627
792.68	610
793.12	616
793.55	611
793.99	616
794.43	622
794.86	613
795.3	622
795.74	640
796.18	636
796.61	610
797.05	615
797.49	642
797.92	629
798.36	624
798.8	604
799.23	624
799.67	632
800.1	626
800.54	629
800.98	625
801.41	626
801.85	609
802.29	615
802.72	621
803.16	606
803.6	618
804.03	609
804.47	640
804.9	638
805.34	616
805.78	614
806.21	631
806.65	633
807.09	605
807.52	631
807.96	624
808.39	617
808.83	624
809.27	619
809.7	622
810.14	645
810.57	621
811.01	612
811.44	614
811.88	628
812.32	638
812.75	626
813.19	628
813.62	603
814.06	616
814.49	620
814.93	634
815.37	614
815.8	635
816.24	636
816.67	631
817.11	607
817.54	619
817.98	609
818.41	641
818.85	609
819.28	613
819.72	634
820.15	642
820.59	627
821.03	617
821.46	620
821.9	630
822.33	626
822.77	632
823.2	635
823.64	628
824.07	624
824.51	625
824.94	624
825.38	636
825.81	620
826.25	616
826.68	631
827.12	644
827.55	612
827.99	622
828.42	644
828.85	615
829.29	612
829.72	610
830.16	633
830.59	634
831.03	620
831.46	611
831.9	622
832.33	639
832.77	622
833.2	630
833.63	627
834.07	614
834.5	617
834.94	608
835.37	627
835.81	614
836.24	625
836.67	604
837.11	625
837.54	625
837.98	614
838.41	618
838.85	633
839.28	620
839.71	606
840.15	627
840.58	625
841.02	622
841.45	624
841.88	614
842.32	635
842.75	628
843.19	621
843.62	622
844.05	635
844.49	625
844.92	601
845.35	617
845.79	621
846.22	622
846.65	625
847.09	635
847.52	629
847.96	620
848.39	622
848.82	625
849.26	639
849.69	623
850.12	604
850.56	628
850.99	634
851.42	630
851.86	605
852.29	630
852.72	632
853.16	617
853.59	612
854.02	624
854.46	647
