Kanal	Count
1	124
2	310
3	2395
4	1555
5	953
6	875
7	1277
8	4177
9	7256
10	4210
11	3171
12	2272
13	1700
14	1374
15	1244
16	1007
17	856
18	831
19	698
20	722
21	601
22	527
23	500
24	465
25	430
26	429
27	419
28	391
29	394
30	376
31	363
32	365
33	366
34	334
35	329
36	350
37	301
38	300
39	317
40	276
41	272
42	286
43	261
44	262
45	265
46	262
47	291
48	223
49	248
50	239
51	246
52	247
53	238
54	220
55	202
56	202
57	207
58	209
59	233
60	216
61	164
62	206
63	191
64	164
65	176
66	177
67	180
68	156
69	167
70	159
71	161
72	165
73	143
74	134
75	158
76	127
77	146
78	122
79	130
80	135
81	135
82	145
83	124
84	127
85	110
86	120
87	136
88	102
89	111
90	99
91	103
92	112
93	107
94	103
95	106
96	109
97	92
98	88
99	86
100	91
101	100
102	82
103	92
104	78
105	100
106	71
107	81
108	76
109	90
110	93
111	83
112	78
113	79
114	70
115	68
116	71
117	64
118	66
119	68
120	79
121	88
122	61
123	75
124	64
125	60
126	65
127	63
128	57
129	56
130	62
131	50
132	47
133	65
134	47
135	53
136	45
137	51
138	64
139	49
140	51
141	57
142	39
143	53
144	45
145	45
146	52
147	34
148	48
149	43
150	41
151	43
152	42
153	49
154	52
155	34
156	40
157	43
158	50
159	30
160	43
161	43
162	39
163	48
164	41
165	40
166	33
167	26
168	38
169	31
170	32
171	32
172	24
173	31
174	29
175	27
176	37
177	31
178	26
179	33
180	41
181	35
182	33
183	28
184	35
185	31
186	25
187	30
188	28
189	29
190	39
191	18
192	25
193	28
194	30
195	28
196	26
197	22
198	12
199	19
200	24
201	26
202	27
203	21
204	19
205	32
206	19
207	23
208	26
209	28
210	29
211	27
212	20
213	17
214	30
215	20
216	23
217	19
218	22
219	27
220	25
221	22
222	18
223	25
224	21
225	19
226	20
227	18
228	25
229	27
230	20
231	22
232	17
233	25
234	24
235	18
236	19
237	16
238	25
239	18
240	15
241	18
242	17
243	30
244	14
245	16
246	16
247	14
248	19
249	16
250	25
251	13
252	16
253	20
254	29
255	18
256	18
