voltage	current	time
-1	-0.04979482	9822.038
-0.98	-0.0498384	9822.621
-0.96	-0.04980383	9823.168
-0.94	-0.04952692	9823.715
-0.92	-0.04959406	9824.262
-0.9	-0.04954255	9824.809
-0.88	-0.04971582	9825.355
-0.86	-0.04986798	9825.901
-0.84	-0.04986756	9826.448
-0.82	-0.04974074	9826.995
-0.8	-0.04966253	9827.542
-0.78	-0.04945014	9828.089
-0.76	-0.04949623	9828.636
-0.74	-0.04956746	9829.183
-0.72	-0.04962988	9829.729
-0.7	-0.04971676	9830.276
-0.68	-0.04951582	9830.823
-0.66	-0.04958775	9831.37
-0.64	-0.04977922	9831.917
-0.62	-0.04963286	9832.464
-0.6	-0.04955722	9833.011
-0.58	-0.04943994	9833.558
-0.56	-0.04934137	9834.104
-0.54	-0.04938421	9834.652
-0.52	-0.04927897	9835.198
-0.5	-0.04945641	9835.746
-0.48	-0.04953776	9836.294
-0.46	-0.04934465	9836.841
-0.44	-0.04933586	9837.388
-0.42	-0.04897918	9837.936
-0.4	-0.04912024	9838.482
-0.38	-0.04904732	9839.03
-0.36	-0.04903837	9839.577
-0.34	-0.04910803	9840.124
-0.32	-0.04914323	9840.671
-0.3	-0.04898498	9841.218
-0.28	-0.04912607	9841.766
-0.26	-0.04900519	9842.313
-0.24	-0.04893275	9842.859
-0.22	-0.04899912	9843.406
-0.2	-0.04923153	9843.953
-0.18	-0.04910873	9844.5
-0.16	-0.04905291	9845.047
-0.14	-0.04909257	9845.594
-0.12	-0.04904194	9846.142
-0.1	-0.04913104	9846.688
-0.08	-0.04916045	9847.235
-0.06	-0.04952734	9847.782
-0.04	-0.0494339	9848.329
-0.02	-0.04935927	9848.876
0	-0.04915638	9849.421
0.02	-0.04891031	9849.97
0.04	-0.04906809	9850.517
0.06	-0.04949519	9851.062
0.08	-0.04924807	9851.609
0.1	-0.04926936	9852.155
0.12	-0.04905321	9852.702
0.14	-0.04900086	9853.249
0.16	-0.04899656	9853.795
0.18	-0.04906534	9854.342
0.2	-0.04899779	9854.888
0.22	-0.0490397	9855.436
0.24	-0.04884188	9855.98
0.26	-0.04833854	9856.527
0.28	-0.0480213	9857.074
0.3	-0.04765851	9857.621
0.32	-0.04724437	9858.168
0.34	-0.04673081	9858.715
0.36	-0.04588407	9859.262
0.38	-0.04457489	9859.81
0.4	-0.04248658	9860.356
0.42	-0.03945477	9860.904
0.44	-0.03451373	9861.451
0.46	-0.0270682	9861.998
0.48	-0.01573339	9862.545
0.5	0.000222342	9863.16
0.52	0.02217547	9863.874
0.54	0.04922673	9864.437
0.56	0.08004908	9864.982
0.58	0.1142694	9865.597
0.6	0.1523165	9866.176
0.62	0.1922428	9866.724
0.64	0.2348956	9867.271
0.66	0.2784697	9867.817
0.68	0.3241062	9868.365
0.7	0.3701046	9868.912
0.72	0.4178949	9869.458
0.74	0.4656602	9870.005
0.76	0.5148669	9870.552
0.78	0.5646287	9871.099
0.8	0.6140025	9871.646
0.82	0.6645991	9872.192
0.84	0.7150754	9872.74
0.86	0.7667194	9873.286
0.88	0.8178664	9873.833
0.9	0.8701602	9874.38
0.92	0.9228548	9874.927
0.94	0.9748797	9875.474
0.96	0.9999631	9876.021
0.98	0.999965	9876.567
1	0.9999632	9877.111
1.02	0.9999592	9877.659
1.04	0.9999657	9878.206
1.06	0.9999644	9878.754
1.08	0.9999637	9879.301
1.1	0.99997	9879.846
1.12	0.9999695	9880.394
1.14	0.9999729	9880.939
1.16	0.9999725	9881.486
1.18	0.9999751	9882.033
1.2	0.9999726	9882.58
1.22	0.9999668	9883.128
1.24	0.9999691	9883.675
1.26	0.9999679	9884.222
1.28	0.9999623	9884.769
1.3	0.9999669	9885.315
1.32	0.9999705	9885.862
1.34	0.9999686	9886.409
1.36	0.9999692	9886.957
1.38	0.9999663	9887.503
1.4	0.9999709	9888.05
1.42	0.9999713	9888.597
1.44	0.9999718	9889.144
1.46	0.9999755	9889.69
1.48	0.9999699	9890.237
1.5	0.9999735	9890.784
