voltage	current	time
-1	-9.522269E-06	9941.318
-0.98	-9.505024E-06	9941.871
-0.96	-9.494125E-06	9942.422
-0.94	-9.444209E-06	9942.969
-0.92	-9.507319E-06	9943.516
-0.9	-9.496624E-06	9944.063
-0.88	-9.475432E-06	9944.609
-0.86	-9.480615E-06	9945.156
-0.84	-9.493585E-06	9945.702
-0.82	-9.497811E-06	9946.25
-0.8	-9.481092E-06	9946.796
-0.78	-9.469886E-06	9947.344
-0.76	-9.46301E-06	9947.891
-0.74	-9.44181E-06	9948.438
-0.72	-9.410223E-06	9948.984
-0.7	-9.389229E-06	9949.531
-0.68	-9.403811E-06	9950.077
-0.66	-9.427071E-06	9950.624
-0.64	-9.427993E-06	9951.17
-0.62	-9.394877E-06	9951.718
-0.6	-9.383465E-06	9952.263
-0.58	-9.395334E-06	9952.811
-0.56	-9.388054E-06	9953.357
-0.54	-9.383214E-06	9953.904
-0.52	-9.384513E-06	9954.451
-0.5	-9.381375E-06	9954.997
-0.48	-9.370643E-06	9955.545
-0.46	-9.348743E-06	9956.091
-0.44	-9.32024E-06	9956.638
-0.42	-9.303231E-06	9957.187
-0.4	-9.317869E-06	9957.731
-0.38	-9.291004E-06	9958.279
-0.36	-9.2961E-06	9958.825
-0.34	-9.304389E-06	9959.371
-0.32	-9.314518E-06	9959.918
-0.3	-9.311562E-06	9960.465
-0.28	-9.277968E-06	9961.012
-0.26	-9.245179E-06	9961.559
-0.24	-9.21976E-06	9962.105
-0.22	-9.221812E-06	9962.652
-0.2	-9.208202E-06	9963.199
-0.18	-9.207904E-06	9963.746
-0.16	-9.19112E-06	9964.293
-0.14	-9.146341E-06	9964.84
-0.12	-9.117102E-06	9965.387
-0.1	-9.08473E-06	9965.934
-0.08	-9.073507E-06	9966.481
-0.06	-9.046364E-06	9967.028
-0.04	-9.057186E-06	9967.575
-0.02	-9.042475E-06	9968.122
0	-9.026338E-06	9968.668
0.02	-9.033871E-06	9969.217
0.04	-9.003834E-06	9969.764
0.06	-8.969708E-06	9970.311
0.08	-8.946933E-06	9970.858
0.1	-8.927273E-06	9971.405
0.12	-8.952174E-06	9971.952
0.14	-8.908318E-06	9972.499
0.16	-8.808301E-06	9973.046
0.18	-8.756313E-06	9973.593
0.2	-8.845343E-06	9974.14
0.22	-8.787306E-06	9974.687
0.24	-8.742531E-06	9975.232
0.26	-8.701398E-06	9975.778
0.28	-8.682673E-06	9976.325
0.3	-8.649235E-06	9976.87
0.32	-8.590182E-06	9977.418
0.34	-8.593121E-06	9977.964
0.36	-8.571385E-06	9978.511
0.38	-8.558266E-06	9979.058
0.4	-8.49696E-06	9979.604
0.42	-8.469957E-06	9980.151
0.44	-8.420207E-06	9980.699
0.46	-8.402467E-06	9981.245
0.48	-8.34919E-06	9981.792
0.5	-8.328576E-06	9982.339
0.52	-8.285341E-06	9982.886
0.54	-8.264341E-06	9983.433
0.56	-8.204704E-06	9983.975
0.58	-8.07192E-06	9984.526
0.6	-7.96151E-06	9985.074
0.62	-7.859765E-06	9985.62
0.64	-7.755603E-06	9986.168
0.66	-7.580631E-06	9986.715
0.68	-7.387875E-06	9987.262
0.7	-7.09486E-06	9987.809
0.72	-6.63402E-06	9988.355
0.74	-6.02315E-06	9988.902
0.76	-5.067409E-06	9989.449
0.78	-3.625721E-06	9989.997
0.8	-1.36287E-06	9990.543
0.82	2.273991E-06	9991.09
0.84	8.031795E-06	9991.637
0.86	1.755046E-05	9992.324
0.88	3.272016E-05	9992.88
0.9	5.730466E-05	9993.427
0.92	9.550226E-05	9993.974
0.94	0.0001504297	9994.656
0.96	0.0002285369	9995.218
0.98	0.0003288652	9995.765
1	0.0004548535	9996.308
1.02	0.0006004802	9996.857
1.04	0.0007683743	9997.404
1.06	0.0009534482	9997.951
1.08	0.001148614	9998.565
1.1	0.001360286	9999.145
1.12	0.001578629	9999.691
1.14	0.001809546	10000.24
1.16	0.002044336	10000.79
1.18	0.002289645	10001.33
1.2	0.00253621	10001.88
1.22	0.002792299	10002.43
1.24	0.003052897	10002.98
1.26	0.003313076	10003.52
1.28	0.003580982	10004.07
1.3	0.003848271	10004.62
1.32	0.004122724	10005.16
1.34	0.004395503	10005.71
1.36	0.004674993	10006.26
1.38	0.004956919	10006.81
1.4	0.00523637	10007.35
1.42	0.00552245	10007.9
1.44	0.005805773	10008.45
1.46	0.006095483	10009
1.48	0.006382253	10009.54
1.5	0.006675472	10010.09
1.52	0.006970378	10010.64
1.54	0.007261538	10011.18
1.56	0.007559345	10011.73
1.58	0.007853629	10012.28
1.6	0.008154299	10012.82
1.62	0.008451103	10013.37
1.64	0.008754252	10013.92
1.66	0.009053679	10014.47
1.68	0.009359377	10015.01
1.7	0.009665876	10015.56
1.72	0.009968445	10016.11
1.74	0.01000019	10016.65
1.76	0.01000018	10017.2
1.78	0.01000019	10017.74
1.8	0.01000017	10018.3
1.82	0.01000019	10018.84
1.84	0.01000019	10019.39
1.86	0.01000019	10019.94
1.88	0.01000019	10020.49
1.9	0.0100002	10021.03
1.92	0.01000019	10021.58
1.94	0.01000019	10022.13
1.96	0.01000019	10022.68
1.98	0.01000018	10023.22
2	0.01000019	10023.77
