voltage	current	time
-1	-1.859771E-05	9449.518
-0.98	-1.866478E-05	9450.101
-0.96	-1.860801E-05	9450.647
-0.94	-1.862805E-05	9451.193
-0.92	-1.858926E-05	9451.74
-0.9	-1.860363E-05	9452.287
-0.88	-1.856162E-05	9452.834
-0.86	-1.860973E-05	9453.38
-0.84	-1.859921E-05	9453.927
-0.82	-1.858094E-05	9454.474
-0.8	-1.852536E-05	9455.021
-0.78	-1.848219E-05	9455.567
-0.76	-1.841415E-05	9456.114
-0.74	-1.837159E-05	9456.662
-0.72	-1.842666E-05	9457.208
-0.7	-1.845231E-05	9457.755
-0.68	-1.844505E-05	9458.302
-0.66	-1.842246E-05	9458.848
-0.64	-1.840229E-05	9459.395
-0.62	-1.839797E-05	9459.941
-0.6	-1.838558E-05	9460.488
-0.58	-1.840821E-05	9461.035
-0.56	-1.837957E-05	9461.582
-0.54	-1.832959E-05	9462.13
-0.52	-1.831086E-05	9462.677
-0.5	-1.829385E-05	9463.223
-0.48	-1.835793E-05	9463.771
-0.46	-1.840826E-05	9464.317
-0.44	-1.842102E-05	9464.864
-0.42	-1.836248E-05	9465.413
-0.4	-1.830951E-05	9465.96
-0.38	-1.827197E-05	9466.507
-0.36	-1.828229E-05	9467.054
-0.34	-1.8245E-05	9467.601
-0.32	-1.826783E-05	9468.147
-0.3	-1.82823E-05	9468.694
-0.28	-1.820204E-05	9469.241
-0.26	-1.822794E-05	9469.788
-0.24	-1.817281E-05	9470.335
-0.22	-1.817046E-05	9470.882
-0.2	-1.814582E-05	9471.429
-0.18	-1.815352E-05	9471.976
-0.16	-1.807612E-05	9472.522
-0.14	-1.806521E-05	9473.068
-0.12	-1.800444E-05	9473.615
-0.1	-1.800383E-05	9474.162
-0.08	-1.803384E-05	9474.709
-0.06	-1.799559E-05	9475.256
-0.04	-1.793463E-05	9475.803
-0.02	-1.781205E-05	9476.35
0	-1.775472E-05	9476.894
0.02	-1.772235E-05	9477.442
0.04	-1.768793E-05	9477.988
0.06	-1.765706E-05	9478.535
0.08	-1.768828E-05	9479.081
0.1	-1.7675E-05	9479.628
0.12	-1.759833E-05	9480.175
0.14	-1.760099E-05	9480.722
0.16	-1.759024E-05	9481.269
0.18	-1.752189E-05	9481.815
0.2	-1.754251E-05	9482.362
0.22	-1.747816E-05	9482.91
0.24	-1.743008E-05	9483.456
0.26	-1.740515E-05	9484.003
0.28	-1.736291E-05	9484.55
0.3	-1.731625E-05	9485.097
0.32	-1.739731E-05	9485.645
0.34	-1.73026E-05	9486.192
0.36	-1.724322E-05	9486.737
0.38	-1.713482E-05	9487.284
0.4	-1.704467E-05	9487.831
0.42	-1.699736E-05	9488.378
0.44	-1.696514E-05	9488.925
0.46	-1.687633E-05	9489.472
0.48	-1.672569E-05	9490.019
0.5	-1.663068E-05	9490.565
0.52	-1.663014E-05	9491.113
0.54	-1.652743E-05	9491.659
0.56	-1.648816E-05	9492.206
0.58	-1.632749E-05	9492.753
0.6	-1.618537E-05	9493.3
0.62	-1.599191E-05	9493.848
0.64	-1.579607E-05	9494.395
0.66	-1.562878E-05	9494.942
0.68	-1.542165E-05	9495.488
0.7	-1.510839E-05	9496.036
0.72	-1.463497E-05	9496.582
0.74	-1.398156E-05	9497.13
0.76	-1.297709E-05	9497.677
0.78	-1.166224E-05	9498.224
0.8	-9.496914E-06	9498.847
0.82	-6.400812E-06	9499.419
0.84	-1.69473E-06	9499.965
0.86	6.080621E-06	9500.511
0.88	1.840573E-05	9501.197
0.9	3.822437E-05	9501.752
0.92	6.927737E-05	9502.299
0.94	0.0001154708	9502.981
0.96	0.0001946704	9503.542
0.98	0.000286596	9504.089
1	0.0004023019	9504.633
1.02	0.0005404642	9505.182
1.04	0.0007005086	9505.729
1.06	0.0008773954	9506.275
1.08	0.001067181	9506.891
1.1	0.001271697	9507.47
1.12	0.001487294	9508.017
1.14	0.001711601	9508.563
1.16	0.001945662	9509.11
1.18	0.002186008	9509.657
1.2	0.002430276	9510.205
1.22	0.00268058	9510.752
1.24	0.002936231	9511.299
1.26	0.003195339	9511.846
1.28	0.003460994	9512.393
1.3	0.003726205	9512.939
1.32	0.004041168	9513.487
1.34	0.004314792	9514.034
1.36	0.004591846	9514.58
1.38	0.004869002	9515.128
1.4	0.005149989	9515.675
1.42	0.005432956	9516.222
1.44	0.005720284	9516.769
1.46	0.006006527	9517.316
1.48	0.006294463	9517.862
1.5	0.006585174	9518.41
1.52	0.006877283	9518.957
1.54	0.007171378	9519.504
1.56	0.007465106	9520.051
1.58	0.007761048	9520.598
1.6	0.008057134	9521.145
1.62	0.008355807	9521.692
1.64	0.008656965	9522.239
1.66	0.009006	9522.785
1.68	0.00930909	9523.332
1.7	0.009612672	9523.879
1.72	0.009917419	9524.426
1.74	0.01000017	9524.974
1.76	0.01000017	9525.521
1.78	0.01000017	9526.068
1.8	0.01000017	9526.615
1.82	0.01000017	9527.163
1.84	0.01000017	9527.71
1.86	0.01000016	9528.258
1.88	0.01000017	9528.805
1.9	0.01000016	9529.352
1.92	0.01000017	9529.899
1.94	0.01000017	9530.445
1.96	0.01000017	9530.992
1.98	0.01000018	9531.536
2	0.01000017	9532.087
