voltage	current	time
-1	-4.526671E-06	7949.568
-0.98	-4.54433E-06	7950.126
-0.96	-4.553055E-06	7950.673
-0.94	-4.548473E-06	7951.22
-0.92	-4.538689E-06	7951.766
-0.9	-4.537349E-06	7952.313
-0.88	-4.529718E-06	7952.858
-0.86	-4.4913E-06	7953.405
-0.84	-4.438928E-06	7953.952
-0.82	-4.376082E-06	7954.499
-0.8	-4.379032E-06	7955.046
-0.78	-4.381688E-06	7955.593
-0.76	-4.375161E-06	7956.139
-0.74	-4.372357E-06	7956.686
-0.72	-4.368572E-06	7957.231
-0.7	-4.361864E-06	7957.777
-0.68	-4.353934E-06	7958.324
-0.66	-4.344356E-06	7958.87
-0.64	-4.339003E-06	7959.417
-0.62	-4.332826E-06	7959.963
-0.6	-4.328171E-06	7960.51
-0.58	-4.324831E-06	7961.055
-0.56	-4.318059E-06	7961.953
-0.54	-4.313172E-06	7962.499
-0.52	-4.312149E-06	7964.043
-0.5	-4.308359E-06	7964.591
-0.48	-4.304421E-06	7965.138
-0.46	-4.301053E-06	7965.685
-0.44	-4.297239E-06	7966.23
-0.42	-4.29247E-06	7966.778
-0.4	-4.288765E-06	7967.325
-0.38	-4.289399E-06	7967.872
-0.36	-4.289107E-06	7968.419
-0.34	-4.282831E-06	7968.966
-0.32	-4.256407E-06	7969.514
-0.3	-4.117113E-06	7970.06
-0.28	-4.259399E-06	7970.607
-0.26	-4.346328E-06	7971.153
-0.24	-4.429973E-06	7971.7
-0.22	-4.451633E-06	7972.247
-0.2	-4.449422E-06	7972.792
-0.18	-4.448926E-06	7973.341
-0.16	-4.444302E-06	7973.888
-0.14	-4.436095E-06	7974.435
-0.12	-4.436155E-06	7974.979
-0.1	-4.436641E-06	7975.527
-0.08	-4.415206E-06	7976.074
-0.06	-4.395512E-06	7976.62
-0.04	-4.367522E-06	7977.165
-0.02	-4.331213E-06	7977.714
0	-4.281188E-06	7978.259
0.02	-4.23063E-06	7978.808
0.04	-4.22729E-06	7979.354
0.06	-4.229534E-06	7979.899
0.08	-4.216438E-06	7980.446
0.1	-4.212706E-06	7980.993
0.12	-4.200013E-06	7981.54
0.14	-4.187444E-06	7982.087
0.16	-4.175031E-06	7982.634
0.18	-4.163303E-06	7983.181
0.2	-4.150218E-06	7983.727
0.22	-4.129798E-06	7984.273
0.24	-4.112323E-06	7984.82
0.26	-4.098862E-06	7985.367
0.28	-4.079395E-06	7985.914
0.3	-4.072924E-06	7986.461
0.32	-4.050335E-06	7987.008
0.34	-4.075001E-06	7987.555
0.36	-4.140211E-06	7988.102
0.38	-4.132997E-06	7988.648
0.4	-4.11746E-06	7989.195
0.42	-4.101018E-06	7989.741
0.44	-4.08084E-06	7990.288
0.46	-4.05606E-06	7990.835
0.48	-4.030803E-06	7991.382
0.5	-4.007378E-06	7991.929
0.52	-3.972369E-06	7992.477
0.54	-3.927928E-06	7993.021
0.56	-3.892354E-06	7993.568
0.58	-3.864353E-06	7994.114
0.6	-3.811986E-06	7994.661
0.62	-3.749667E-06	7995.208
0.64	-3.643107E-06	7995.755
0.66	-3.526612E-06	7996.301
0.68	-3.358394E-06	7996.848
0.7	-3.139236E-06	7997.395
0.72	-2.800941E-06	7997.941
0.74	-2.311216E-06	7998.488
0.76	-1.490567E-06	7999.035
0.78	-1.917519E-07	7999.661
0.8	1.822738E-06	8000.372
0.82	5.153219E-06	8000.925
0.84	1.04589E-05	8001.465
0.86	1.927206E-05	8002.159
0.88	3.338757E-05	8002.715
0.9	5.647813E-05	8003.262
0.92	9.261072E-05	8003.809
0.94	0.0001453593	8004.491
0.96	0.000220775	8005.053
0.98	0.0003183541	8005.6
1	0.0004417439	8006.145
