voltage	current	time
-1	-0.1265818	15012.07
-0.96	-0.1271086	15012.62
-0.92	-0.1267188	15013.17
-0.88	-0.1271238	15013.71
-0.84	-0.1267653	15014.26
-0.8	-0.1271142	15014.81
-0.76	-0.1269909	15015.35
-0.72	-0.126942	15015.9
-0.68	-0.126921	15016.45
-0.64	-0.1270149	15017
-0.6	-0.1269023	15017.54
-0.56	-0.1267547	15018.09
-0.52	-0.1270955	15018.64
-0.48	-0.1270044	15019.18
-0.44	-0.1271651	15019.73
-0.4	-0.1269264	15020.28
-0.36	-0.1267876	15020.82
-0.32	-0.126945	15021.37
-0.28	-0.1265982	15021.92
-0.24	-0.1267779	15022.46
-0.2	-0.1267513	15023.01
-0.16	-0.1265517	15023.56
-0.12	-0.1269512	15024.11
-0.08	-0.1265058	15024.66
-0.04	-0.1265767	15025.2
0	-0.1266239	15025.75
0.04	-0.1268176	15026.3
0.08	-0.1265594	15026.84
0.12	-0.126616	15027.39
0.16	-0.1268555	15027.94
0.2	-0.1267142	15028.48
0.24	-0.1264758	15029.03
0.28	-0.1264497	15029.58
0.32	-0.1269943	15030.12
0.36	-0.1262522	15030.67
0.4	-0.126586	15031.22
0.44	-0.1261367	15031.77
0.48	-0.125968	15032.31
0.52	-0.1267467	15032.86
0.56	-0.1261299	15033.41
0.6	-0.1259186	15033.95
0.64	-0.1255828	15034.5
0.68	-0.1256823	15035.04
0.72	-0.1252627	15035.6
0.76	-0.1251791	15036.14
0.8	-0.1249973	15036.69
0.84	-0.1251154	15037.24
0.88	-0.1248614	15037.79
0.92	-0.1250301	15038.33
0.96	-0.1247783	15038.88
1	-0.1245497	15039.42
1.04	-0.1250319	15039.97
1.08	-0.1248534	15040.52
1.12	-0.1254153	15041.07
1.16	-0.1250517	15041.61
1.2	-0.125236	15042.16
1.24	-0.1250623	15042.71
1.28	-0.1250243	15043.25
1.32	-0.1253761	15043.8
1.36	-0.12583	15044.35
1.4	-0.1259236	15044.9
1.44	-0.1254909	15045.44
1.48	-0.1253234	15045.99
1.52	-0.1254234	15046.54
1.56	-0.1251614	15047.08
1.6	-0.1248619	15047.63
1.64	-0.1249513	15048.18
1.68	-0.1252065	15048.73
1.72	-0.1250247	15049.27
1.76	-0.1250256	15049.82
1.8	-0.1243628	15050.37
1.84	-0.1243836	15050.91
1.88	-0.1241097	15051.46
1.92	-0.1233918	15052.01
1.96	-0.1237494	15052.56
2	-0.1233799	15053.1
2.04	-0.1233348	15053.65
2.08	-0.1228382	15054.2
2.12	-0.1226354	15054.74
2.16	-0.1223274	15055.29
2.2	-0.1216596	15055.84
2.24	-0.121393	15056.38
2.28	-0.1205915	15056.93
2.32	-0.1201887	15057.48
2.36	-0.1192762	15058.03
2.4	-0.1187952	15058.57
2.44	-0.1173336	15059.12
2.48	-0.1161731	15059.67
2.52	-0.1145692	15060.21
2.56	-0.1132978	15060.76
2.6	-0.1106903	15061.31
2.64	-0.1082946	15061.85
2.68	-0.1052396	15062.4
2.72	-0.1007178	15062.95
2.76	-0.09502575	15063.56
2.8	-0.0893608	15064.14
2.84	-0.08293226	15064.69
2.88	-0.07562777	15065.24
2.92	-0.06786572	15065.78
2.96	-0.05918138	15066.33
3	-0.04993093	15066.88
3.04	-0.04012774	15067.42
3.08	-0.03002133	15067.97
3.12	-0.01933343	15068.52
3.16	-0.007918968	15069.13
3.2	0.002514835	15069.71
3.24	0.01037441	15070.25
3.28	0.02581032	15070.94
3.32	0.03793108	15071.5
3.36	0.05025211	15072.05
3.4	0.06278273	15072.6
3.44	0.07565434	15073.15
3.48	0.08884139	15073.69
3.52	0.1020387	15074.23
3.56	0.1145131	15074.85
3.6	0.1280488	15075.43
3.64	0.1410812	15075.98
3.68	0.1550552	15076.53
3.72	0.1688714	15077.07
3.76	0.1830934	15077.62
3.8	0.1974611	15078.17
3.84	0.2116659	15078.72
3.88	0.2258456	15079.26
3.92	0.2402852	15079.81
3.96	0.2551363	15080.36
4	0.2703391	15080.9
4.04	0.2849602	15081.45
4.08	0.2998939	15082
4.12	0.3146909	15082.54
4.16	0.330081	15083.09
4.2	0.3453781	15083.64
4.24	0.3608951	15084.19
4.28	0.3759197	15084.73
4.32	0.3906711	15085.28
4.36	0.4062105	15085.83
4.4	0.4218211	15086.37
4.44	0.4377783	15086.92
4.48	0.453124	15087.47
4.52	0.4678735	15088.01
4.56	0.4854845	15088.56
4.6	0.5025955	15089.11
4.64	0.5176038	15089.66
4.68	0.5342917	15090.2
4.72	0.5517435	15090.75
4.76	0.5676477	15091.3
4.8	0.5835228	15091.84
4.84	0.599767	15092.39
4.88	0.6166262	15092.94
4.92	0.6347502	15093.49
4.96	0.6494493	15094.03
5	0.6665591	15094.58
5.04	0.6830842	15095.13
5.08	0.7002613	15095.67
5.12	0.7150477	15096.22
5.16	0.7318695	15096.77
5.2	0.7497548	15097.32
5.24	0.7638613	15097.86
5.28	0.7820553	15098.41
5.32	0.7977639	15098.96
5.36	0.8162684	15099.5
5.4	0.8317162	15100.05
5.44	0.8458977	15100.6
5.48	0.8631693	15101.14
5.52	0.8814611	15101.69
5.56	0.9003748	15102.24
5.6	0.9161758	15102.79
5.64	0.9287378	15103.33
5.68	0.9388098	15103.88
5.72	0.9434029	15104.43
5.76	0.9573632	15104.97
5.8	0.9829264	15105.52
5.84	0.999986	15106.06
5.88	0.9999927	15106.62
5.92	0.9999929	15107.16
5.96	0.9999955	15107.71
6	0.9999967	15108.25
6.04	0.9999972	15108.8
6.08	0.9999967	15109.35
6.12	0.9999912	15109.9
6.16	0.9999964	15110.45
6.2	0.9999937	15110.99
6.24	0.9999937	15111.54
6.28	0.9999941	15112.09
6.32	0.999999	15112.63
6.36	0.9999955	15113.18
6.4	0.9999998	15113.73
6.44	0.9999946	15114.27
6.48	1.000004	15114.82
6.52	1.000009	15115.37
6.56	1.000002	15115.92
6.6	1.000001	15116.46
6.64	1.000003	15117.01
6.68	1.000003	15117.56
6.72	1.000004	15118.1
6.76	1.000008	15118.66
6.8	1.000011	15119.2
6.84	1.000005	15119.75
6.88	1.000005	15120.29
6.92	1.000004	15120.85
6.96	1.000008	15121.39
7	1.000005	15121.94
