voltage	current	time
-1	-0.001592964	15798.27
-0.98	-0.001596665	15798.85
-0.96	-0.001594951	15799.4
-0.94	-0.001597659	15799.94
-0.92	-0.001595555	15800.49
-0.9	-0.001593541	15801.04
-0.88	-0.001594885	15801.58
-0.86	-0.001593351	15802.13
-0.84	-0.001586622	15802.68
-0.82	-0.001586066	15803.22
-0.8	-0.001585235	15803.77
-0.78	-0.001581017	15804.32
-0.76	-0.001579354	15804.87
-0.74	-0.001572177	15805.41
-0.72	-0.001567087	15805.96
-0.7	-0.001561281	15806.51
-0.68	-0.001552821	15807.05
-0.66	-0.001546081	15807.6
-0.64	-0.001543507	15808.15
-0.62	-0.001536019	15808.69
-0.6	-0.001528094	15809.24
-0.58	-0.001523534	15809.79
-0.56	-0.001519012	15810.33
-0.54	-0.001510638	15810.88
-0.52	-0.001507656	15811.43
-0.5	-0.001497535	15811.98
-0.48	-0.001491263	15812.52
-0.46	-0.001485734	15813.07
-0.44	-0.001476952	15813.62
-0.42	-0.001471399	15814.17
-0.4	-0.001464673	15814.71
-0.38	-0.001459628	15815.26
-0.36	-0.001452827	15815.81
-0.34	-0.001448939	15816.35
-0.32	-0.001441456	15816.9
-0.3	-0.00143541	15817.45
-0.28	-0.001428485	15818
-0.26	-0.001424813	15818.54
-0.24	-0.001419841	15819.09
-0.22	-0.001410971	15819.64
-0.2	-0.001407338	15820.18
-0.18	-0.001397925	15820.73
-0.16	-0.001393707	15821.28
-0.14	-0.001389887	15821.83
-0.12	-0.001387712	15822.37
-0.1	-0.001386476	15822.92
-0.08	-0.001378676	15823.47
-0.06	-0.001374585	15824.01
-0.04	-0.001368171	15824.56
-0.02	-0.001365176	15825.11
0	-0.001355162	15825.65
0.02	-0.001350794	15826.2
0.04	-0.00134301	15826.75
0.06	-0.001333456	15827.3
0.08	-0.001326369	15827.84
0.1	-0.001317539	15828.38
0.12	-0.001311015	15828.93
0.14	-0.001307123	15829.48
0.16	-0.001296869	15830.03
0.18	-0.001297031	15830.57
0.2	-0.001293384	15831.12
0.22	-0.001286147	15831.67
0.24	-0.001283622	15832.22
0.26	-0.00127528	15832.77
0.28	-0.001273051	15833.31
0.3	-0.001264254	15833.86
0.32	-0.001260116	15834.41
0.34	-0.001258639	15834.95
0.36	-0.001253657	15835.5
0.38	-0.001249174	15836.05
0.4	-0.001241922	15836.59
0.42	-0.001237899	15837.14
0.44	-0.001228108	15837.69
0.46	-0.001222832	15838.24
0.48	-0.001217605	15838.78
0.5	-0.001211689	15839.33
0.52	-0.001207919	15839.88
