voltage	current	time
-1	-0.1665511	16959.93
-0.9725	-0.1641187	16960.48
-0.945	-0.1617829	16961.03
-0.9175	-0.1594244	16961.57
-0.89	-0.1571358	16962.12
-0.8625	-0.1543574	16962.67
-0.835	-0.1515872	16963.21
-0.8075	-0.1489962	16963.76
-0.78	-0.1465103	16964.31
-0.7525	-0.1444992	16964.85
-0.725	-0.1420846	16965.4
-0.6975	-0.1398091	16965.95
-0.67	-0.137221	16966.49
-0.6425	-0.1352005	16967.04
-0.615	-0.1334399	16967.59
-0.5875	-0.1315379	16968.13
-0.56	-0.1297387	16968.68
-0.5325	-0.1287815	16969.23
-0.505	-0.1277264	16969.78
-0.4775	-0.1273776	16970.32
-0.45	-0.1269189	16970.87
-0.4225	-0.1268996	16971.42
-0.395	-0.1268195	16971.96
-0.3675	-0.126924	16972.51
-0.34	-0.1267355	16973.06
-0.3125	-0.1267351	16973.61
-0.285	-0.1269232	16974.15
-0.2575	-0.1267953	16974.7
-0.23	-0.1267194	16975.25
-0.2025	-0.1265541	16975.79
-0.175	-0.1266068	16976.34
-0.1475	-0.1262516	16976.89
-0.12	-0.1265949	16977.43
-0.0925	-0.1265372	16977.98
-0.065	-0.1265693	16978.53
-0.0375	-0.1262938	16979.07
-0.01	-0.1261917	16979.62
0.0175	-0.1259754	16980.17
0.045	-0.1259703	16980.71
0.0725	-0.1261716	16981.26
0.1	-0.1076492	16981.81
0.1275	-0.1087423	16982.36
0.155	-0.1088081	16982.9
0.1825	-0.108582	16983.45
0.21	-0.1088359	16984
0.2375	-0.1088093	16984.54
0.265	-0.1085102	16985.09
0.2925	-0.108191	16985.64
0.32	-0.1080108	16986.18
0.3475	-0.1080382	16986.73
0.375	-0.1078767	16987.28
0.4025	-0.1078636	16987.82
0.43	-0.1077973	16988.37
0.4575	-0.1076362	16988.92
0.485	-0.1074573	16989.46
0.5125	-0.1072608	16990.01
0.54	-0.1068925	16990.56
0.5675	-0.1070633	16991.11
0.595	-0.1071514	16991.65
0.6225	-0.1069583	16992.2
0.65	-0.106701	16992.75
0.6775	-0.1064972	16993.29
0.705	-0.1063069	16993.84
0.7325	-0.1061601	16994.39
0.76	-0.1060892	16994.93
0.7875	-0.1058927	16995.48
0.815	-0.105762	16996.03
0.8425	-0.1053907	16996.58
0.87	-0.1051085	16997.12
0.8975	-0.1050393	16997.67
0.925	-0.1051296	16998.22
0.9525	-0.1048536	16998.77
0.98	-0.1232409	16999.31
1.0075	-0.1227575	16999.86
1.035	-0.1224057	17000.41
1.0625	-0.1219273	17000.95
1.09	-0.0955548	17001.57
1.1175	-0.09560795	17002.28
1.145	-0.09275231	17002.91
1.1725	-0.09138735	17003.49
1.2	-0.09008139	17004.03
1.2275	-0.08833744	17004.58
1.255	-0.08761243	17005.13
1.2825	-0.08607855	17005.68
1.31	-0.08462139	17006.22
1.3375	-0.08300555	17006.77
1.365	-0.07949233	17007.32
1.3925	-0.07683568	17007.87
1.42	-0.07491639	17008.41
1.4475	-0.07148462	17008.96
1.475	-0.06970657	17009.51
1.5025	-0.04423491	17010.05
1.53	-0.04273123	17010.6
1.5575	-0.04130516	17011.15
1.585	-0.03965951	17011.7
1.6125	-0.03820946	17012.24
1.64	-0.118372	17012.85
1.6675	-0.1193646	17013.39
1.695	-0.1192262	17013.93
1.7225	-0.1192524	17014.48
1.75	-0.1191203	17015.03
1.7775	-0.1188196	17015.57
1.805	-0.1184951	17016.12
1.8325	-0.1182842	17016.67
1.86	-0.0280576	17017.28
1.8875	-0.02129388	17017.86
1.915	-0.1163593	17018.48
1.9425	-0.1172132	17019.06
1.97	-0.1173916	17019.6
1.9975	-0.1177097	17020.15
2.025	-0.1178231	17020.7
2.0525	-0.1174739	17021.24
2.08	-0.1171929	17021.79
2.1075	-0.1176734	17022.34
2.135	-0.01732904	17022.95
2.1625	-0.03685044	17023.53
2.19	-0.04078893	17024.08
2.2175	-0.04198764	17024.62
2.245	-0.04139904	17025.3
2.2725	-0.04117686	17025.94
2.3	-0.0383896	17026.51
2.3275	-0.03732077	17027.06
2.355	-0.0369736	17027.6
2.3825	-0.03648786	17028.15
2.41	-0.03763589	17028.7
2.4375	-0.0365892	17029.25
2.465	-0.03395279	17029.79
2.4925	-0.03304272	17030.34
2.52	-0.0341942	17031.02
2.5475	-0.03237108	17031.66
2.575	-0.03260145	17032.24
2.6025	-0.03043216	17032.78
2.63	-0.02915076	17033.32
2.6575	-0.02830965	17033.88
2.685	-0.02712482	17034.42
2.7125	-0.02636955	17034.96
2.74	-0.02582886	17035.51
2.7675	-0.02486187	17036.06
2.795	-0.0233264	17036.61
2.8225	-0.02230318	17037.15
2.85	-0.02209487	17037.7
2.8775	-0.02025061	17038.25
2.905	-0.0216192	17038.8
2.9325	-0.01929543	17039.35
2.96	-0.02059285	17039.89
2.9875	-0.01745058	17040.43
3.015	-0.01821145	17040.98
3.0425	-0.01669192	17041.53
3.07	-0.01499055	17042.08
3.0975	-0.0148579	17042.62
3.125	-0.01395295	17043.17
3.1525	-0.01303775	17043.72
3.18	-0.01188856	17044.26
3.2075	-0.01154495	17044.82
3.235	-0.01078422	17045.36
3.2625	-0.01053061	17046.11
3.29	-0.002649965	17046.73
3.3175	-0.01017316	17047.43
3.345	-0.00200329	17048.06
3.3725	-0.008503422	17048.73
3.4	-0.00666115	17049.49
3.4275	-0.004142204	17050.24
3.455	-0.001104485	17050.86
3.4825	-0.002268814	17051.56
3.51	-0.002158281	17052.46
3.5375	-0.0001089442	17053.3
3.565	5.728068E-05	17054.01
3.5925	0.0006462694	17054.77
3.62	0.001017052	17055.46
3.6475	0.0007656925	17056.21
3.675	0.001666606	17056.76
3.7025	0.002152263	17057.31
3.73	0.002950955	17057.85
3.7575	0.007545931	17058.54
3.785	0.0062129	17059.3
3.8125	0.003007944	17059.91
3.84	0.004309197	17060.44
3.8675	0.01069281	17061.12
3.895	0.004388292	17061.75
3.9225	0.0126343	17062.42
3.95	0.01179644	17062.98
3.9775	0.01281212	17063.53
4.005	0.01238744	17064.07
4.0325	0.01288335	17064.63
4.06	0.01571805	17065.17
4.0875	0.01694773	17065.72
4.115	0.01824865	17066.27
4.1425	0.01810708	17066.81
4.17	0.01843537	17067.36
4.1975	0.01882742	17067.91
4.225	0.01906747	17068.45
4.2525	0.0218062	17069
4.28	0.02247283	17069.55
4.3075	0.02317468	17070.09
4.335	0.02329111	17070.65
4.3625	0.02435054	17071.2
4.39	0.02557705	17071.74
4.4175	0.02596772	17072.28
4.445	0.02719176	17072.83
4.4725	0.02748843	17073.38
4.5	0.0294876	17073.92
4.5275	0.02938032	17074.47
4.555	0.03046749	17075.02
4.5825	0.03091118	17075.57
4.61	0.03340406	17076.12
4.6375	0.03356472	17076.66
4.665	0.03363676	17077.21
4.6925	0.03412837	17077.75
4.72	0.03567998	17078.3
4.7475	0.03559291	17078.85
4.775	0.0380042	17079.4
4.8025	0.03893708	17079.95
4.83	0.03866126	17080.49
4.8575	0.04026731	17081.04
4.885	0.04065682	17081.59
4.9125	0.04307159	17082.13
4.94	0.04383566	17082.68
4.9675	0.04478629	17083.23
4.995	0.04549821	17083.78
5.0225	0.04673052	17084.32
5.05	0.04738934	17084.87
5.0775	0.048434	17085.42
5.105	0.04916773	17085.96
5.1325	0.04991253	17086.51
5.16	0.05106806	17087.06
5.1875	0.05270369	17087.61
5.215	0.05351857	17088.15
5.2425	0.05389043	17088.7
5.27	0.05506847	17089.25
5.2975	0.05603985	17089.79
5.325	0.05607646	17090.34
5.3525	0.05873905	17090.89
5.38	0.05774425	17091.43
5.4075	0.0608685	17091.98
5.435	0.06238562	17092.53
5.4625	0.06165806	17093.08
5.49	0.06281473	17093.62
5.5175	0.06425709	17094.17
5.545	0.06494114	17094.72
5.5725	0.06654299	17095.26
5.6	0.0660037	17095.8
5.6275	0.06850613	17096.35
5.655	0.06993911	17096.9
5.6825	0.07039917	17097.44
5.71	0.07169089	17097.99
5.7375	0.07321989	17098.54
5.765	0.07482862	17099.09
5.7925	0.07699697	17099.63
5.82	0.078433	17100.19
5.8475	0.08020736	17100.73
5.875	0.07970881	17101.4
5.9025	0.08337666	17102.04
5.93	0.08618686	17102.62
5.9575	0.08817997	17103.29
5.985	0.08981348	17103.93
6.0125	0.09172878	17104.51
6.04	0.1000175	17105.19
6.0675	0.1040111	17105.76
6.095	0.1039901	17106.3
6.1225	0.1103039	17106.85
6.15	0.1147455	17107.4
6.1775	0.1231471	17107.95
6.205	0.1275343	17108.49
6.2325	0.1304927	17109.04
6.26	0.1375338	17109.59
6.2875	0.1438899	17110.13
6.315	0.149759	17110.68
6.3425	0.1544238	17111.23
6.37	0.1605828	17111.78
6.3975	0.1671983	17112.32
6.425	0.1764887	17112.87
6.4525	0.1835066	17113.42
6.48	0.1916098	17113.96
6.5075	0.1992024	17114.51
6.535	0.2070845	17115.06
6.5625	0.2167446	17115.6
6.59	0.2256886	17116.15
