voltage	current	time
-1	-0.9245731	18582.86
-0.98	-0.9238344	18583.41
-0.96	-0.9209926	18583.96
-0.94	-0.923244	18584.51
-0.92	-0.9233505	18585.05
-0.9	-0.9229759	18585.6
-0.88	-0.9245278	18586.15
-0.86	-0.9246626	18586.7
-0.84	-0.9183439	18587.24
-0.82	-0.9184101	18587.79
-0.8	-0.9169174	18588.34
-0.78	-0.9170106	18588.88
-0.76	-0.9173647	18589.43
-0.74	-0.9165547	18589.98
-0.72	-0.9165508	18590.52
-0.7	-0.9207922	18591.07
-0.68	-0.9204139	18591.62
-0.66	-0.9212417	18592.16
-0.64	-0.9209784	18592.71
-0.62	-0.9205849	18593.26
-0.6	-0.9200817	18593.8
-0.58	-0.9209098	18594.35
-0.56	-0.9211078	18594.9
-0.54	-0.9225945	18595.45
-0.52	-0.921361	18595.99
-0.5	-0.9223094	18596.54
-0.48	-0.9225092	18597.09
-0.46	-0.9234009	18597.63
-0.44	-0.9233848	18598.18
-0.42	-0.9228142	18598.73
-0.4	-0.922838	18599.28
-0.38	-0.9224219	18599.83
-0.36	-0.921734	18600.37
-0.34	-0.923216	18600.92
-0.32	-0.9229181	18601.47
-0.3	-0.9230282	18602.01
-0.28	-0.9221816	18602.56
-0.26	-0.9225442	18603.11
-0.24	-0.9214465	18603.65
-0.22	-0.9212378	18604.2
-0.2	-0.920112	18604.75
-0.18	-0.9209191	18605.29
-0.16	-0.9195691	18605.84
-0.14	-0.9180872	18606.39
-0.12	-0.9171191	18606.94
-0.1	-0.9139932	18607.48
-0.08	-0.9123048	18608.03
-0.06	-0.9081307	18608.58
-0.04	-0.9010289	18609.13
-0.02	-0.8922712	18609.67
0	-0.8813617	18610.22
0.02	-0.8656606	18610.77
0.04	-0.8475775	18611.31
0.06	-0.8263843	18611.86
0.08	-0.8021308	18612.41
0.1	-0.7748206	18612.95
0.12	-0.7459719	18613.5
0.14	-0.7152817	18614.05
0.16	-0.6825103	18614.59
0.18	-0.6481196	18615.14
0.2	-0.6137879	18615.69
0.22	-0.5777301	18616.23
0.24	-0.5412775	18616.78
0.26	-0.5035062	18617.33
0.28	-0.4657188	18617.87
0.3	-0.4267861	18618.42
0.32	-0.3861969	18618.97
0.34	-0.3466432	18619.52
0.36	-0.3068441	18620.06
0.38	-0.267754	18620.61
0.4	-0.2276131	18621.16
0.42	-0.1879475	18621.71
0.44	-0.1473838	18622.25
0.46	-0.1066477	18622.8
0.48	-0.06537354	18623.41
0.5	-0.02463735	18623.99
0.52	0.01604207	18624.54
0.54	0.05748377	18625.09
0.56	0.09801169	18625.63
0.58	0.1379785	18626.25
0.6	0.1779525	18626.83
0.62	0.2168904	18627.38
0.64	0.2565334	18627.92
0.66	0.2958203	18628.47
0.68	0.3362425	18629.02
0.7	0.3761717	18629.56
0.72	0.4169404	18630.11
0.74	0.4572105	18630.66
0.76	0.4976438	18631.21
0.78	0.5376552	18631.75
0.8	0.5772901	18632.3
0.82	0.6179405	18632.85
0.84	0.6579035	18633.39
0.86	0.6981286	18633.94
0.88	0.7375596	18634.49
0.9	0.776213	18635.03
0.92	0.8146771	18635.58
0.94	0.8547999	18636.13
0.96	0.896426	18636.67
0.98	0.93792	18637.22
1	0.9910005	18637.77
1.02	0.9999747	18638.31
1.04	0.9999786	18638.86
1.06	0.9999773	18639.41
1.08	0.9999769	18639.96
1.1	0.9999802	18640.5
1.12	0.9999802	18641.05
1.14	0.9999807	18641.6
1.16	0.9999804	18642.14
1.18	0.9999772	18642.69
1.2	0.9999782	18643.24
1.22	0.9999816	18643.78
1.24	0.9999772	18644.33
1.26	0.9999821	18644.88
1.28	0.9999803	18645.42
1.3	0.9999827	18645.97
1.32	0.9999823	18646.52
1.34	0.9999834	18647.07
1.36	0.9999835	18647.61
1.38	0.9999862	18648.16
1.4	0.9999813	18648.71
1.42	0.9999829	18649.25
1.44	0.9999818	18649.8
1.46	0.9999817	18650.35
1.48	0.9999828	18650.89
1.5	0.9999831	18651.44
