voltage	current	time
-1	-0.8551049	5066.318
-0.98	-0.8547725	5066.868
-0.96	-0.8550863	5067.415
-0.94	-0.8550807	5067.962
-0.92	-0.8553702	5068.509
-0.9	-0.8564821	5069.056
-0.88	-0.8574522	5069.602
-0.86	-0.858009	5070.148
-0.84	-0.8572236	5070.696
-0.82	-0.8569024	5071.242
-0.8	-0.8568445	5071.789
-0.78	-0.857236	5072.336
-0.76	-0.8575961	5072.883
-0.74	-0.8590949	5073.43
-0.72	-0.8580966	5073.978
-0.7	-0.8585688	5074.523
-0.68	-0.8582997	5075.069
-0.66	-0.8594981	5075.617
-0.64	-0.8587533	5076.164
-0.62	-0.8594394	5076.711
-0.6	-0.8595915	5077.258
-0.58	-0.8593293	5077.805
-0.56	-0.85958	5078.351
-0.54	-0.8584025	5078.897
-0.52	-0.8593348	5079.444
-0.5	-0.859831	5079.991
-0.48	-0.8604408	5080.539
-0.46	-0.8596503	5081.086
-0.44	-0.8594803	5081.633
-0.42	-0.8588217	5082.181
-0.4	-0.8589963	5082.727
-0.38	-0.8588942	5083.274
-0.36	-0.8579736	5083.821
-0.34	-0.8583326	5084.368
-0.32	-0.8585722	5084.915
-0.3	-0.8593471	5085.462
-0.28	-0.8595517	5086.009
-0.26	-0.8598413	5086.556
-0.24	-0.8593181	5087.102
-0.22	-0.8593898	5087.648
-0.2	-0.859951	5088.194
-0.18	-0.860076	5088.741
-0.16	-0.8598909	5089.288
-0.14	-0.8596401	5089.835
-0.12	-0.8593923	5090.382
-0.1	-0.85879	5090.929
-0.08	-0.857425	5091.477
-0.06	-0.8565791	5092.023
-0.04	-0.8563328	5092.57
-0.02	-0.8559986	5093.117
0	-0.8553386	5093.663
0.02	-0.8534574	5094.212
0.04	-0.8517573	5094.759
0.06	-0.8507614	5095.306
0.08	-0.8476298	5095.853
0.1	-0.842577	5096.398
0.12	-0.8358418	5096.946
0.14	-0.8257397	5097.493
0.16	-0.809579	5098.04
0.18	-0.788625	5098.587
0.2	-0.7643565	5099.134
0.22	-0.734866	5099.681
0.24	-0.7021745	5100.228
0.26	-0.6656074	5100.775
0.28	-0.6271629	5101.322
0.3	-0.5864597	5101.869
0.32	-0.5442615	5102.417
0.34	-0.5012056	5102.964
0.36	-0.4561504	5103.511
0.38	-0.4107837	5104.058
0.4	-0.3639333	5104.604
0.42	-0.3170372	5105.15
0.44	-0.2686359	5105.697
0.46	-0.2195037	5106.244
0.48	-0.1708608	5106.791
0.5	-0.1209833	5107.338
0.52	-0.07014323	5107.951
0.54	-0.02007934	5108.532
0.56	0.03021708	5109.079
0.58	0.081678	5109.626
0.6	0.1323228	5110.239
0.62	0.1832592	5110.82
0.64	0.235248	5111.366
0.66	0.2866831	5111.913
0.68	0.3391118	5112.459
0.7	0.3908743	5113.006
0.72	0.4436888	5113.553
0.74	0.495875	5114.101
0.76	0.5490124	5114.646
0.78	0.6020966	5115.194
0.8	0.6544472	5115.74
0.82	0.7079262	5116.287
0.84	0.7603376	5116.834
0.86	0.8140813	5117.381
0.88	0.8671121	5117.928
0.9	0.9211968	5118.475
0.92	0.9754922	5119.021
0.94	0.9999588	5119.569
0.96	0.9999519	5120.115
0.98	0.9999532	5120.662
1	0.9999575	5121.207
