voltage	current	time
-1	-0.0002574218	2096.588
-0.98	-0.0002519782	2097.171
-0.96	-0.0002465939	2097.718
-0.94	-0.0002413443	2098.265
-0.92	-0.0002357548	2098.812
-0.9	-0.0002306751	2099.358
-0.88	-0.0002254854	2099.905
-0.86	-0.0002198178	2100.451
-0.84	-0.0002147022	2100.999
-0.82	-0.0002097783	2101.546
-0.8	-0.0002042789	2102.092
-0.78	-0.0001994758	2102.64
-0.76	-0.0001939667	2103.187
-0.74	-0.0001890687	2103.733
-0.72	-0.0001837004	2104.279
-0.7	-0.0001786722	2104.826
-0.68	-0.0001736308	2105.372
-0.66	-0.000168745	2105.919
-0.64	-0.0001638066	2106.466
-0.62	-0.0001588399	2107.013
-0.6	-0.000153819	2107.56
-0.58	-0.000148932	2108.106
-0.56	-0.0001440281	2108.653
-0.54	-0.0001389299	2109.199
-0.52	-0.0001342492	2109.745
-0.5	-0.0001295493	2110.292
-0.48	-0.0001247173	2110.839
-0.46	-0.0001198799	2111.386
-0.44	-0.0001153294	2111.933
-0.42	-0.0001105849	2112.48
-0.4	-0.0001059111	2113.026
-0.38	-0.0001012038	2113.573
-0.36	-9.627679E-05	2114.192
-0.34	-9.174163E-05	2114.767
-0.32	-8.724212E-05	2115.313
-0.3	-8.254282E-05	2115.86
-0.28	-7.783083E-05	2116.407
-0.26	-7.31797E-05	2116.954
-0.24	-6.856548E-05	2117.501
-0.22	-6.396168E-05	2118.047
-0.2	-5.915529E-05	2118.594
-0.18	-5.446805E-05	2119.142
-0.16	-4.963351E-05	2119.687
-0.14	-4.470863E-05	2120.234
-0.12	-3.968412E-05	2120.781
-0.1	-3.438555E-05	2121.328
-0.08	-2.891366E-05	2121.876
-0.06	-2.296014E-05	2122.423
-0.04	-1.654086E-05	2122.969
-0.02	-9.189295E-06	2123.591
0	-6.922E-07	2124.241
0.02	9.524806E-06	2124.955
0.04	2.131464E-05	2125.646
0.06	3.553289E-05	2126.201
0.08	5.304659E-05	2126.747
0.1	7.399388E-05	2127.293
0.12	9.996633E-05	2127.84
0.14	0.0001308811	2128.521
0.16	0.0001698335	2129.083
0.18	0.0002179182	2129.63
0.2	0.0002771303	2130.176
0.22	0.0003533182	2130.724
0.24	0.0004488594	2131.27
0.26	0.0005746383	2131.816
0.28	0.0007364228	2132.363
0.3	0.000954078	2132.91
0.32	0.001242548	2133.591
0.34	0.001626915	2134.154
0.36	0.002159958	2134.701
0.38	0.002887266	2135.248
0.4	0.003941402	2135.795
0.42	0.005463022	2136.342
0.44	0.007815911	2136.889
0.46	0.01149966	2137.57
0.48	0.01724616	2138.133
0.5	0.02633302	2138.68
0.52	0.03953312	2139.228
0.54	0.05800055	2139.772
0.56	0.08120771	2140.319
0.58	0.1086433	2140.935
0.6	0.140755	2141.514
0.62	0.1754035	2142.061
0.64	0.2133079	2142.608
0.66	0.2526879	2143.155
0.68	0.294366	2143.702
0.7	0.336726	2144.249
0.72	0.3809684	2144.795
0.74	0.4254505	2145.342
0.76	0.4714611	2145.89
0.78	0.5181495	2146.437
0.8	0.5645745	2146.983
0.82	0.6121526	2147.531
0.84	0.6595455	2148.078
0.86	0.7083346	2148.625
0.88	0.7566885	2149.172
0.9	0.8061752	2149.719
0.92	0.8560369	2150.266
0.94	0.9053231	2150.813
0.96	0.9556996	2151.359
0.98	0.9999639	2151.906
1	0.9999616	2152.451
