voltage	current	time
-1	-2.148793E-07	2743.404
-0.98	-2.147846E-07	2743.976
-0.96	-2.163076E-07	2744.521
-0.94	-2.154249E-07	2745.068
-0.92	-2.144458E-07	2745.614
-0.9	-2.144657E-07	2746.161
-0.88	-2.12949E-07	2746.708
-0.86	-2.109591E-07	2747.255
-0.84	-2.099373E-07	2747.801
-0.82	-2.095423E-07	2748.348
-0.8	-2.081089E-07	2748.894
-0.78	-2.075424E-07	2749.439
-0.76	-2.06735E-07	2749.986
-0.74	-2.056835E-07	2750.533
-0.72	-2.051654E-07	2751.08
-0.7	-2.053315E-07	2751.627
-0.68	-2.041843E-07	2752.173
-0.66	-2.036059E-07	2752.72
-0.64	-2.029269E-07	2753.266
-0.62	-2.019232E-07	2753.812
-0.6	-2.015664E-07	2754.358
-0.58	-2.007929E-07	2754.905
-0.56	-1.998392E-07	2755.452
-0.54	-1.991598E-07	2755.999
-0.52	-2.005965E-07	2756.546
-0.5	-2.01506E-07	2757.093
-0.48	-2.013636E-07	2757.641
-0.46	-2.003744E-07	2758.187
-0.44	-1.995986E-07	2758.732
-0.42	-1.991003E-07	2759.28
-0.4	-1.978826E-07	2759.827
-0.38	-1.961068E-07	2760.373
-0.36	-1.950116E-07	2760.92
-0.34	-1.935609E-07	2761.467
-0.32	-1.894968E-07	2762.014
-0.3	-1.854853E-07	2762.561
-0.28	-1.872672E-07	2763.107
-0.26	-1.853895E-07	2763.655
-0.24	-1.851971E-07	2764.201
-0.22	-1.83495E-07	2764.746
-0.2	-1.829102E-07	2765.293
-0.18	-1.867281E-07	2765.84
-0.16	-1.87256E-07	2766.387
-0.14	-1.864708E-07	2766.934
-0.12	-1.856528E-07	2767.479
-0.1	-1.849874E-07	2768.027
-0.08	-1.841074E-07	2768.574
-0.06	-1.833063E-07	2769.121
-0.04	-1.818367E-07	2769.667
-0.02	-1.815001E-07	2770.214
0	-1.805504E-07	2770.76
0.02	-1.790398E-07	2771.309
0.04	-1.781152E-07	2771.855
0.06	-1.771373E-07	2772.403
0.08	-1.760784E-07	2772.949
0.1	-1.749921E-07	2773.494
0.12	-1.738057E-07	2774.042
0.14	-1.727429E-07	2774.589
0.16	-1.716625E-07	2775.136
0.18	-1.709048E-07	2775.683
0.2	-1.701228E-07	2776.229
0.22	-1.688694E-07	2776.776
0.24	-1.677608E-07	2777.323
0.26	-1.657882E-07	2777.868
0.28	-1.635231E-07	2778.415
0.3	-1.609279E-07	2778.961
0.32	-1.600507E-07	2779.508
0.34	-1.585489E-07	2780.055
0.36	-1.578917E-07	2780.602
0.38	-1.556644E-07	2781.148
0.4	-1.521913E-07	2781.695
0.42	-1.500791E-07	2782.241
0.44	-1.471424E-07	2782.787
0.46	-1.437042E-07	2783.334
0.48	-1.410909E-07	2783.881
0.5	-1.370772E-07	2784.427
0.52	-1.315729E-07	2784.974
0.54	-1.245916E-07	2785.521
0.56	-1.154086E-07	2786.067
0.58	-1.029004E-07	2786.614
0.6	-8.389865E-08	2787.161
0.62	-5.053956E-08	2787.708
0.64	-6.850339E-09	2788.255
0.66	5.954966E-08	2788.802
0.68	1.611782E-07	2789.348
0.7	3.182123E-07	2789.895
0.72	5.615756E-07	2790.44
0.74	9.462735E-07	2790.988
0.76	1.546763E-06	2791.679
0.78	2.506024E-06	2792.229
0.8	4.028255E-06	2792.775
0.82	6.515169E-06	2793.323
0.84	1.056541E-05	2794.011
0.86	1.721464E-05	2794.565
0.88	2.800295E-05	2795.11
0.9	4.545042E-05	2795.657
0.92	7.364075E-05	2796.204
0.94	0.0001162306	2796.887
0.96	0.0001902946	2797.448
0.98	0.0002784299	2797.994
1	0.0003903665	2798.538
1.02	0.0005257073	2799.087
1.04	0.0006828853	2799.635
1.06	0.0008583517	2800.181
1.08	0.001048408	2800.796
1.1	0.001253088	2801.375
1.12	0.001468705	2801.923
1.14	0.001693171	2802.469
1.16	0.001927028	2803.016
1.18	0.002167535	2803.563
1.2	0.002413822	2804.109
1.22	0.002665789	2804.656
1.24	0.002922898	2805.203
1.26	0.003184807	2805.75
1.28	0.003450077	2806.297
1.3	0.003719046	2806.845
1.32	0.004034265	2807.391
1.34	0.004311862	2807.937
1.36	0.004589031	2808.484
1.38	0.004868244	2809.031
1.4	0.005151807	2809.578
1.42	0.005437553	2810.124
1.44	0.005725943	2810.672
1.46	0.006014663	2811.218
1.48	0.006305921	2811.766
1.5	0.006599338	2812.313
1.52	0.006893647	2812.858
1.54	0.007188182	2813.405
1.56	0.007487031	2813.952
1.58	0.007785032	2814.499
1.6	0.008085697	2815.046
1.62	0.008386482	2815.594
1.64	0.008688958	2816.141
1.66	0.009044075	2816.688
1.68	0.009350698	2817.234
1.7	0.009658162	2817.781
1.72	0.009964776	2818.329
1.74	0.01000019	2818.875
1.76	0.01000019	2819.421
1.78	0.01000018	2819.969
1.8	0.01000019	2820.515
1.82	0.01000018	2821.063
1.84	0.01000019	2821.609
1.86	0.01000019	2822.156
1.88	0.01000019	2822.704
1.9	0.01000019	2823.25
1.92	0.01000019	2823.797
1.94	0.0100002	2824.345
1.96	0.01000018	2824.893
1.98	0.01000019	2825.439
2	0.01000019	2825.985
