voltage	current	time
-1	-0.0002716421	5323.418
-0.98	-0.0002718238	5324
-0.96	-0.0002717648	5324.547
-0.94	-0.0002717754	5325.094
-0.92	-0.0002714284	5325.641
-0.9	-0.0002712757	5326.186
-0.88	-0.0002711778	5326.732
-0.86	-0.0002713293	5327.279
-0.84	-0.0002713935	5327.826
-0.82	-0.0002711376	5328.374
-0.8	-0.000271321	5328.921
-0.78	-0.0002707289	5329.467
-0.76	-0.0002709269	5330.014
-0.74	-0.0002710279	5330.56
-0.72	-0.0002709058	5331.105
-0.7	-0.0002702966	5331.652
-0.68	-0.0002698945	5332.199
-0.66	-0.000269596	5332.746
-0.64	-0.0002693787	5333.293
-0.62	-0.0002697244	5333.841
-0.6	-0.0002696723	5334.387
-0.58	-0.0002695136	5334.934
-0.56	-0.0002691744	5335.48
-0.54	-0.000268922	5336.027
-0.52	-0.0002685968	5336.574
-0.5	-0.0002682297	5337.121
-0.48	-0.0002681499	5337.669
-0.46	-0.0002677585	5338.215
-0.44	-0.0002677054	5338.761
-0.42	-0.0002678612	5339.309
-0.4	-0.0002674058	5339.855
-0.38	-0.0002672161	5340.403
-0.36	-0.0002669306	5340.948
-0.34	-0.0002667982	5341.495
-0.32	-0.0002666687	5342.043
-0.3	-0.0002664773	5342.589
-0.28	-0.000266527	5343.136
-0.26	-0.0002661234	5343.683
-0.24	-0.0002655452	5344.229
-0.22	-0.0002653667	5344.777
-0.2	-0.0002653436	5345.323
-0.18	-0.0002647542	5345.871
-0.16	-0.0002647052	5346.417
-0.14	-0.0002646316	5346.963
-0.12	-0.0002640962	5347.51
-0.1	-0.0002636783	5348.057
-0.08	-0.0002633845	5348.604
-0.06	-0.000263071	5349.151
-0.04	-0.0002629212	5349.696
-0.02	-0.0002627488	5350.243
0	-0.0002624064	5350.789
0.02	-0.0002616318	5351.338
0.04	-0.0002610996	5351.885
0.06	-0.0002608647	5352.432
0.08	-0.0002602589	5352.979
0.1	-0.0002599789	5353.525
0.12	-0.0002590772	5354.073
0.14	-0.0002583625	5354.618
0.16	-0.0002578829	5355.165
0.18	-0.0002572003	5355.713
0.2	-0.000256773	5356.26
0.22	-0.0002563984	5356.807
0.24	-0.0002559162	5357.354
0.26	-0.0002549365	5357.9
0.28	-0.000254595	5358.447
0.3	-0.0002538016	5358.994
0.32	-0.0002532603	5359.542
0.34	-0.0002527146	5360.087
0.36	-0.000252281	5360.635
0.38	-0.0002515283	5361.182
0.4	-0.0002510599	5361.729
0.42	-0.0002506771	5362.275
0.44	-0.0002499627	5362.822
0.46	-0.0002490355	5363.369
0.48	-0.0002479054	5363.916
0.5	-0.0002469905	5364.464
0.52	-0.0002460563	5365.012
0.54	-0.0002447857	5365.559
0.56	-0.000243686	5366.104
0.58	-0.0002426009	5366.652
0.6	-0.0002406934	5367.199
0.62	-0.0002389863	5367.746
0.64	-0.000236812	5368.294
0.66	-0.0002342253	5368.841
0.68	-0.0002316665	5369.388
0.7	-0.0002283813	5369.935
0.72	-0.0002247146	5370.481
0.74	-0.0002203161	5371.028
0.76	-0.0002139402	5371.575
0.78	-0.000206267	5372.123
0.8	-0.000195658	5372.669
0.82	-0.0001814763	5373.217
0.84	-0.0001615992	5373.763
0.86	-0.000133338	5374.31
0.88	-9.018239E-05	5374.929
0.9	-3.801534E-05	5375.504
0.92	3.414778E-05	5376.05
0.94	0.0001281941	5376.732
0.96	0.0002654253	5377.294
0.98	0.0004061605	5377.841
1	0.000567019	5378.385
1.02	0.0007444429	5378.933
1.04	0.0009387983	5379.479
1.06	0.001140152	5380.095
1.08	0.001356797	5380.674
1.1	0.001582694	5381.221
1.12	0.001818104	5381.768
1.14	0.0020591	5382.315
1.16	0.00230668	5382.861
1.18	0.002560496	5383.409
1.2	0.002818838	5383.955
1.22	0.003079964	5384.503
1.24	0.003346091	5385.05
1.26	0.003617953	5385.597
1.28	0.003890949	5386.144
1.3	0.004165737	5386.69
1.32	0.004490627	5387.238
1.34	0.004771658	5387.784
1.36	0.005052767	5388.332
1.38	0.005340294	5388.878
1.4	0.005625898	5389.426
1.42	0.005915691	5389.973
1.44	0.006209753	5390.52
1.46	0.006502653	5391.066
1.48	0.00679562	5391.614
1.5	0.007090424	5392.159
1.52	0.007386396	5392.707
1.54	0.007683689	5393.254
1.56	0.007983535	5393.801
1.58	0.008283117	5394.348
1.6	0.008585285	5394.895
1.62	0.008889484	5395.442
1.64	0.009190182	5395.988
1.66	0.009544182	5396.536
1.68	0.009851694	5397.082
1.7	0.01000017	5397.629
1.72	0.01000016	5398.176
1.74	0.01000016	5398.723
1.76	0.01000017	5399.27
1.78	0.01000016	5399.816
1.8	0.01000017	5400.363
1.82	0.01000017	5400.91
1.84	0.01000017	5401.458
1.86	0.01000017	5402.006
1.88	0.01000017	5402.553
1.9	0.01000017	5403.1
1.92	0.01000018	5403.646
1.94	0.01000017	5404.193
1.96	0.01000018	5404.74
1.98	0.01000018	5405.288
2	0.01000018	5405.835
