voltage	current	time
-1	0.0008600882	4506.846
-0.945	0.0008680129	4507.428
-0.89	0.0008740654	4507.975
-0.835	0.0008801533	4508.521
-0.78	0.0008848725	4509.067
-0.725	0.0008906004	4509.614
-0.67	0.0008939072	4510.161
-0.615	0.0008984969	4510.708
-0.56	0.0009040941	4511.255
-0.505	0.0009051259	4511.802
-0.45	0.0009112173	4512.349
-0.395	0.0009164668	4512.896
-0.34	0.0009182417	4513.441
-0.285	0.0009232401	4513.988
-0.23	0.0009283248	4514.535
-0.175	0.0009318774	4515.082
-0.12	0.0009370998	4515.621
-0.065	0.0009398916	4516.175
-0.01	0.0009443847	4516.716
0.045	0.0009495406	4517.263
0.1	0.0009524827	4517.808
0.155	0.0009555295	4518.354
0.21	0.0009584281	4518.901
0.265	0.0009605473	4519.448
0.32	0.0009675844	4520.135
0.375	0.0009658263	4520.768
0.43	0.0009753793	4521.478
0.485	0.0009723958	4522.11
0.54	0.0009827989	4522.82
0.595	0.0009758328	4523.454
0.65	0.0009885742	4524.156
0.705	0.0009815129	4524.798
0.76	0.000997522	4525.5
0.815	0.001000316	4526.072
0.87	0.001004047	4526.619
0.925	0.001006061	4527.166
0.98	0.001007846	4527.713
1.035	0.001012351	4528.259
1.09	0.001015186	4528.806
1.145	0.001018556	4529.353
1.2	0.001022296	4529.899
1.255	0.001024834	4530.446
1.31	0.001027096	4530.993
1.365	0.001030797	4531.54
1.42	0.001033797	4532.087
1.475	0.00103729	4532.635
1.53	0.001041437	4533.181
1.585	0.001044726	4533.729
1.64	0.001048616	4534.275
1.695	0.001052961	4534.822
1.75	0.001054183	4535.369
1.805	0.001056678	4535.917
1.86	0.001060513	4536.462
1.915	0.001063446	4537.01
1.97	0.001067543	4537.555
2.025	0.001071851	4538.102
2.08	0.001075354	4538.648
2.135	0.001078576	4539.195
2.19	0.001082455	4539.742
2.245	0.001084841	4540.29
2.3	0.001088816	4540.836
2.355	0.001092361	4541.384
2.41	0.00109553	4541.931
2.465	0.001097316	4542.478
2.52	0.001100651	4543.024
2.575	0.001103592	4543.571
2.63	0.001106845	4544.118
2.685	0.001111655	4544.666
2.74	0.00111431	4545.212
2.795	0.001117419	4545.758
2.85	0.001119273	4546.304
2.905	0.001122375	4546.85
2.96	0.001124848	4547.396
3.015	0.001128309	4547.943
3.07	0.001131779	4548.49
3.125	0.001135364	4549.037
3.18	0.001139206	4549.584
3.235	0.001143229	4550.131
3.29	0.001146466	4550.678
3.345	0.001149478	4551.226
3.4	0.001154011	4551.772
3.455	0.001155907	4552.318
3.51	0.001159565	4552.865
3.565	0.001162518	4553.412
3.62	0.001165303	4553.96
3.675	0.001169589	4554.506
3.73	0.00117209	4555.052
3.785	0.001175253	4555.6
3.84	0.001177946	4556.146
3.895	0.00118274	4556.693
3.95	0.001186733	4557.24
4.005	0.001189896	4557.786
4.06	0.00119389	4558.332
4.115	0.00119643	4558.879
4.17	0.001199846	4559.427
4.225	0.001202009	4559.974
4.28	0.001204876	4560.521
4.335	0.001208034	4561.067
4.39	0.001210691	4561.614
4.445	0.001214133	4562.161
4.5	0.001218748	4562.708
4.555	0.001221332	4563.256
4.61	0.001223953	4563.802
4.665	0.00122935	4564.35
4.72	0.001233652	4564.896
4.775	0.001236636	4565.442
4.83	0.001239522	4565.989
4.885	0.001241574	4566.535
4.94	0.00124474	4567.082
4.995	0.001248801	4567.63
5.05	0.001251665	4568.176
5.105	0.001254823	4568.724
5.16	0.001258384	4569.27
5.215	0.001261575	4569.815
5.27	0.001267288	4570.362
5.325	0.001269858	4570.909
5.38	0.00127099	4571.456
5.435	0.001274927	4572.003
5.49	0.001278068	4572.55
5.545	0.001281947	4573.098
5.6	0.001286293	4573.644
5.655	0.001289765	4574.191
5.71	0.001292542	4574.738
5.765	0.001295509	4575.285
5.82	0.001299098	4575.832
5.875	0.001301042	4576.377
5.93	0.001304332	4576.924
5.985	0.001308552	4577.472
6.04	0.001312147	4578.019
6.095	0.001314378	4578.565
6.15	0.001317184	4579.112
6.205	0.00132225	4579.66
6.26	0.001324448	4580.206
6.315	0.001328209	4580.754
6.37	0.001330957	4581.301
6.425	0.00133292	4581.848
6.48	0.001337017	4582.395
6.535	0.001340851	4582.941
6.59	0.001345879	4583.488
6.645	0.001350168	4584.035
6.7	0.001352292	4584.582
6.755	0.001357706	4585.129
6.81	0.001359425	4585.675
6.865	0.001362332	4586.222
6.92	0.001365472	4586.769
6.975	0.001370844	4587.315
7.03	0.001370024	4587.862
7.085	0.001377243	4588.409
7.14	0.001379156	4588.956
7.195	0.001384185	4589.503
7.25	0.001387725	4590.05
7.305	0.001389393	4590.598
7.36	0.0013949	4591.145
7.415	0.001398138	4591.691
7.47	0.001400785	4592.238
7.525	0.001403433	4592.786
7.58	0.001407061	4593.332
7.635	0.001410785	4593.88
7.69	0.001415148	4594.426
7.745	0.001419329	4594.973
7.8	0.001424129	4595.52
7.855	0.001427259	4596.066
7.91	0.00142792	4596.613
7.965	0.001431911	4597.161
8.02	0.001438028	4597.706
8.075	0.001438441	4598.253
8.13	0.001446523	4598.8
8.185	0.001447971	4599.346
8.24	0.001451105	4599.893
8.295	0.001456553	4600.439
8.35	0.001460238	4600.986
8.405	0.001467157	4601.533
8.46	0.001472114	4602.08
8.515	0.001473485	4602.627
8.57	0.001481179	4603.174
8.625	0.001485139	4603.721
8.68	0.001490538	4604.268
8.735	0.001490377	4604.813
8.79	0.001497641	4605.359
8.845	0.001498411	4605.905
8.9	0.001500234	4606.451
8.955	0.001505175	4606.998
9.01	0.001509529	4607.544
9.065	0.001511781	4608.091
9.12	0.001516873	4608.638
9.175	0.001520463	4609.184
9.23	0.001525968	4609.73
9.285	0.001531378	4610.277
9.34	0.001532882	4610.823
9.395	0.001540299	4611.37
9.45	0.001539066	4611.917
9.505	0.001536341	4612.464
9.56	0.001545651	4613.011
9.615	0.001554023	4613.557
9.67	0.001556062	4614.104
9.725	0.001559606	4614.65
9.78	0.001565392	4615.198
9.835	0.001566609	4615.745
9.89	0.001574154	4616.292
9.945	0.001578338	4616.839
10	0.001582876	4617.384
