ghkl,intensity
0,8.4
0.016,9.199
0.032,8.842
0.048,8.672
0.065,8.129
0.081,8.19
0.097,8.506
0.113,8.572
0.129,9.004
0.145,9.634
0.162,8.919
0.178,8.405
0.194,8.234
0.21,8.107
0.226,8.5
0.242,9.052
0.259,9.435
0.275,9.12
0.291,8.9
0.307,8.543
0.323,8.572
0.339,5.499
0.356,4.435
0.372,8.33
0.388,8.636
0.404,8.193
0.42,6.963
0.436,5.858
0.453,7.427
0.469,8.718
0.485,9.308
0.501,9.222
0.517,8.868
0.533,9.052
0.55,9.497
0.566,9.201
0.582,9.166
0.598,9.549
0.614,9.825
0.63,9.47
0.647,9.428
0.663,9.751
0.679,10.34
0.695,9.641
0.711,9.749
0.727,8.483
0.744,7.942
0.76,9.531
0.776,10.236
0.792,10.632
0.808,10.627
0.824,8.79
0.841,9.608
0.857,9.445
0.873,11.248
0.889,11.437
0.905,11.873
0.921,12.627
0.938,12.858
0.954,13.179
0.97,13.487
0.986,13.904
1.002,14.371
1.018,15.328
1.035,16.259
1.051,16.878
1.067,17.757
1.083,19.17
1.099,20.008
1.115,23.2
1.132,28.389
1.148,35.935
1.164,47.257
1.18,71.02
1.196,122.935
1.212,183.283
1.229,240.043
1.245,301.734
1.261,365.152
1.277,438.536
1.293,505.557
1.309,557.461
1.326,605.996
1.342,652.444
1.358,689.963
1.374,717.686
1.39,735.523
1.406,744.763
1.423,748.34
1.439,747.643
1.455,745.45
1.471,740.142
1.487,731.096
1.503,721.474
1.52,715.226
1.536,708.768
1.552,703.815
1.568,701.111
1.584,696.393
1.6,693.649
1.617,695.553
1.633,695.637
1.649,693.181
1.665,691.441
1.681,689.653
1.697,686.345
1.714,682.424
1.73,676.853
1.746,671.727
1.762,667.596
1.778,664.602
1.794,663.252
1.811,661.826
1.827,660.861
1.843,657.029
1.859,653.537
1.875,646.724
1.891,640.273
1.908,635.97
1.924,629.39
1.94,623.16
1.956,618.028
1.972,615.043
1.988,610.638
2.005,606.263
2.021,602.223
2.037,597.025
2.053,591.59
2.069,586.802
2.085,583.688
2.102,581.56
2.118,580.815
2.134,578.106
2.15,575.169
2.166,573.173
2.182,569.968
2.199,566.685
2.215,563.29
2.231,558.941
2.247,554.701
2.263,551.407
2.279,548.289
2.296,543.182
2.312,540.044
2.328,539.996
2.344,539.372
2.36,536.266
2.376,532.241
2.393,528.056
2.409,522.503
2.425,519.961
2.441,516.079
2.457,511.5
2.473,506.969
2.49,502.823
2.506,498.506
2.522,494.565
2.538,490.59
2.554,486.172
2.57,482.391
2.587,477.965
2.603,474.112
2.619,469.909
2.635,464.971
2.651,461.363
2.667,458.188
2.684,454.726
2.7,451.026
2.716,447.693
2.732,443.611
2.748,440.021
2.764,435.432
2.781,431.465
2.797,427.919
2.813,424.721
2.829,420.097
2.845,416.587
2.861,413.204
2.878,409.863
2.894,406.216
2.91,402.136
2.926,398.463
2.942,395.268
2.958,391.732
2.975,388.449
2.991,385.42
3.007,382.407
3.023,379.202
3.039,376.168
3.055,372.935
3.072,369.31
3.088,366.103
3.104,363.065
3.12,360.061
3.136,356.751
3.152,354.041
3.169,351.224
3.185,348.555
3.201,345.822
3.217,342.574
3.233,338.995
3.249,335.661
3.266,333.839
3.282,331.546
3.298,328.407
3.314,325.745
3.33,323.759
3.346,321.681
3.363,319.401
3.379,317.274
3.395,315.606
3.411,313.426
3.427,310.717
3.443,309.351
3.46,307.667
3.476,306.376
3.492,305.369
3.508,304.082
3.524,302.513
3.54,301.181
3.557,299.622
3.573,297.837
3.589,297.403
3.605,296.485
3.621,295.582
3.637,294.683
3.654,294.34
3.67,293.915
3.686,293.073
3.702,293.734
3.718,293.992
3.734,293.742
3.751,294.786
3.767,295.767
3.783,296.919
3.799,297.941
3.815,299.491
3.831,301.895
3.848,305.36
3.864,309.015
3.88,313.684
3.896,318.311
3.912,324.346
3.928,331.275
3.945,338.565
3.961,348.227
3.977,358.709
3.993,370.457
4.009,383.22
4.025,398.065
4.042,416.42
4.058,438.67
4.074,464.874
4.09,496.171
4.106,534.318
4.122,579.328
4.139,630.315
4.155,686.955
4.171,748.679
4.187,811.331
4.203,870.416
4.219,921.317
4.236,961.129
4.252,987.747
4.268,997.111
4.284,989.143
4.3,964.813
4.316,927.168
4.333,881.001
4.349,827.558
4.365,774.265
4.381,720.296
4.397,665.947
4.413,620.263
4.43,580.017
4.446,546.615
4.462,517.917
4.478,494.606
4.494,474.745
4.51,458.485
4.527,444.837
4.543,434.168
4.559,425.179
4.575,417.424
4.591,412.794
4.607,409.607
4.624,407.16
4.64,405.813
4.656,404.732
4.672,405.735
4.688,407.598
4.704,410.187
4.721,412.503
4.737,416.204
4.753,420.921
4.769,424.684
4.785,427.829
4.801,431.861
4.818,435.737
4.834,438.704
4.85,441.313
4.866,441.661
4.882,440.533
4.898,437.563
4.915,433.015
4.931,426.518
4.947,417.894
4.963,406.767
4.979,395.284
4.995,382.498
5.012,368.863
5.028,355.476
5.044,341.896
5.06,328.759
5.076,315.884
5.092,303.472
5.109,291.949
5.125,280.468
5.141,270.821
5.157,261.536
5.173,252.98
5.189,245.431
5.206,238.691
5.222,231.783
