ort,intensity
0,1928.24
0.023,1769.157
0.046,1726.965
0.069,1823.084
0.092,2007.206
0.114,2208.264
0.137,2318.812
0.16,2295.585
0.183,2155.282
0.206,1954.154
0.229,1798.342
0.252,1758.245
0.275,1870.681
0.298,2088.077
0.32,2313.771
0.343,2465.089
0.366,2472.654
0.389,2329.756
0.412,2126.932
0.435,1984.296
0.458,1951.37
0.481,2044.8
0.504,2218.886
0.526,2398.796
0.549,2484.698
0.572,2410.036
0.595,2233.975
0.618,2024.354
0.641,1878.728
0.664,1859.382
0.687,1972.987
0.71,2174.489
0.733,2380.294
0.755,2463.263
0.778,2378.902
0.801,2205.399
0.824,2004.047
0.847,1872.546
0.87,1869.047
0.893,1990.064
0.916,2184.576
0.939,2349.151
0.961,2414.232
0.984,2356.875
1.007,2202.979
1.03,2051.819
1.053,1973.299
1.076,2022.435
1.099,2190.12
1.122,2383.186
1.145,2522.585
1.167,2562.831
1.19,2435.882
1.213,2208.909
1.236,1991.171
